status,priority,bucket,title,year,venue,authors,doi_or_arxiv,url,source_found,seed_from,method_family,task,sensing,action_space,unseen_definition,benchmark_or_environment,sim2real,main_result,main_limitation,relevance_to_internship,notes
seed,P1,unseen-generalization,A Survey on Learning-Based Robotic Grasping,2020,Current Robotics Reports,,10.1007/s43154-020-00021-6,https://doi.org/10.1007/s43154-020-00021-6,OpenAlex,novel object generalization robotic manipulation,survey,grasping,vision or multimodal,,novel objects broad,review,no,high-level map of learning-based grasping,not focused on contact exploration,useful survey anchor,start with this for broad manipulation context
seed,P1,active-perception,Active Perception and Representation for Robotic Manipulation,2020,arXiv,,10.48550/arxiv.2003.06734,https://doi.org/10.48550/arxiv.2003.06734,OpenAlex,active perception robotic manipulation,active perception,manipulation,vision,,unknown scene or object context,robot manipulation,no,directly aligned with active perception framing,arXiv and may need follow-up venue/version,very relevant,good seed for active scene exploration framing
seed,P1,active-perception,A review on sensory perception for dexterous robotic manipulation,2022,International Journal of Advanced Robotic Systems,,10.1177/17298806221095974,https://doi.org/10.1177/17298806221095974,OpenAlex,active perception robotic manipulation,review,dexterous manipulation,multimodal,,general review,review,no,overview of sensing for manipulation,review rather than direct method,useful survey anchor,good for sensor taxonomy
seed,P1,contact-tactile,AcTExplore: Active Tactile Exploration on Unknown Objects,2024,ICRA,,10.1109/icra57147.2024.10611667,https://doi.org/10.1109/icra57147.2024.10611667,OpenAlex,tactile exploration unseen object robot,active tactile exploration,exploration,tactile,,unknown objects,real or sim mixed,unknown,direct hit on unknown-object tactile exploration,need full-paper read for setup and metrics,very relevant,strongest direct seed so far
seed,P1,contact-tactile,Tactile-Based Task Definition Through Edge Contact Formation Setpoints for Object Exploration and Manipulation,2022,IEEE Robotics and Automation Letters,,10.1109/lra.2022.3154478,https://doi.org/10.1109/lra.2022.3154478,OpenAlex,contact based exploration robot arm,tactile control and exploration,exploration and manipulation,tactile contact,,object edges and contact state,robot manipulation,no,contact used as explicit task signal,may be specialized to edge-contact setting,relevant for contact verification,good contact-centric seed
seed,P1,vla-language,OpenVLA: An Open-Source Vision-Language-Action Model,2024,arXiv,,10.48550/arxiv.2406.09246,https://doi.org/10.48550/arxiv.2406.09246,OpenAlex,vision language action robot manipulation generalization,VLA,robot control,vision and language,actions from policy,open-world broad,foundation model,no,core open VLA baseline for language-conditioned control,not specific to unseen contact exploration,relevant VLA baseline,should be expanded to related VLA papers
seed,P1,vla-language,RT-1: Robotics Transformer for Real-World Control at Scale,2023,RSS,,10.15607/rss.2023.xix.025,https://doi.org/10.15607/rss.2023.xix.025,OpenAlex,sim to real unseen object manipulation domain randomization,transformer policy,real-world control,vision and language-like commands,tokenized actions,broad object and task diversity,real robot,yes,major scalable robot-policy baseline,not directly your contact task,relevant modern baseline,useful bridge between VLA and large-scale policies
seed,P1,rl-exploration,Unsupervised Reinforcement Learning for Transferable Manipulation Skill Discovery,2022,IEEE Robotics and Automation Letters,,10.1109/lra.2022.3171915,https://doi.org/10.1109/lra.2022.3171915,OpenAlex,reinforcement learning active exploration robot manipulation,RL skill discovery,manipulation,vision or state,policy learning,transferable skills broad,robot manipulation,unknown,transfer-oriented RL seed,not specifically unseen-object reaching,relevant RL seed,good for transferable policy ideas
seed,P1,sim2real-fusion,Sim-to-Real Model-Based and Model-Free Deep Reinforcement Learning for Tactile Pushing,2023,IEEE Robotics and Automation Letters,,10.1109/lra.2023.3295236,https://doi.org/10.1109/lra.2023.3295236,OpenAlex,sim to real unseen object manipulation domain randomization,sim-to-real RL,tactile pushing,tactile,continuous control,unknown objects not explicit,tactile pushing,yes,good contact plus sim-to-real paper,pushing not reaching,but method transfer could matter,relevant sim2real contact seed,important for sensor-noise and transfer
seed,P1,classical-methods,DiffOcclusion: Differentiable Optimization Based Control Barrier Functions for Occlusion-Free Visual Servoing,2024,IEEE Robotics and Automation Letters,,10.1109/lra.2024.3364468,https://doi.org/10.1109/lra.2024.3364468,OpenAlex,visual servoing unknown object robot arm,visual servoing,servoing,vision,control optimization,unknown objects not explicit,visual servoing,no,strong classical-control adjacent method,not directly about unseen-object generalization,relevant classical baseline,include because classical methods are in scope
seed,P1,classical-methods,Autonomous Robotic Manipulation: Real-Time Deep-Learning Approach for Grasping of Unknown Objects,2022,Journal of Robotics,,10.1155/2022/2585656,https://doi.org/10.1155/2022/2585656,OpenAlex,visual servoing unknown object robot arm,unknown-object manipulation,grasping,vision,,unknown objects,robot manipulation,no,direct unknown-object manipulation paper,quality and benchmark strength need checking,possibly relevant,needs closer evaluation
seed,P2,unseen-generalization,Scaling Robot Learning with Semantically Imagined Experience,2023,RSS,,10.15607/rss.2023.xix.027,https://doi.org/10.15607/rss.2023.xix.027,OpenAlex,novel object generalization robotic manipulation,scaling and generalization,manipulation,vision and semantics,policy learning,broad generalization,robot learning,unknown,strong generalization-oriented seed,less directly about contact exploration,relevant adjacent method,expand through citations if it connects to object variation generalization
