benchmark_episode_id	source_episode_id	scene_fingerprint_sha256	risk_split	target_category	target_variant	target_position_index	clutter_position_index
0	101600	3448c02e258e426b42d031f8a027dbcfac7872fd7911fda144ed814c30c217ac	ood_test	box	box15	100	100
1	103601	14c3036f483f82b3ed36ada2fbaac9141dfa1e8e02491c4d7a6337d25b5f02aa	ood_test	tomato	tomato07	101	101
2	101602	2eea2bd6569ccf746614142bf00209037d192b14d315071b594f36581a1217b9	ood_test	lemon	lemon14	102	102
3	106403	c99dc514193a46a7cc9d389d89588d989221fa0183606a9733242a453063ffb6	ood_test	kiwi	kiwi07	103	103
4	105204	8c1fec862ea7bed8ed35274a02e66ac9b36bb60c93e61f1addfeac1be82eea55	ood_test	apple	apple20	104	104
5	109605	20ef37e87aace1c76157530b74f3f91ac625bdbb27c4076f7c984a995392dcc8	ood_test	peach	peach06	105	105
6	105606	683b1270f8d1cfef2d09a5780bc6393309b7a79b529c515d023ffebd745e4899	ood_test	avocado	avocado06	106	106
7	101207	6932d69ce4d9f2d6d94744a31c85025943f051f95a2d20bc77bbc3f24cfde631	ood_test	apple	apple20	107	107
8	100408	334d3aa7f833b21a13c6e07d413421e08d51d6281be664ac2857ea74540380f0	ood_test	potato	potato17	108	108
9	100009	5ed5e36b5234a2630d9b2abd8d4e72f888b59bbccb92a702e80df7a1fff5793f	ood_test	apple	apple22	109	109
10	105610	29cb852d63406de1132566664edf1a85b342903b979ac70580e21fbd736e79a6	ood_test	box	box14	110	110
11	102811	6a07d39db64f3430b17200b2a2047886c1988cdb7d2c35cb9d890ced57a81452	ood_test	box	box15	111	111
12	109212	ebcce695bf835cc0b49bf463f0e558d8e9ece564668811d8e3fcaba69faf3785	ood_test	beer	beer19	112	112
13	104413	b0ac5499ced92a09af94262dcde0482b3734d7b35236a578175110767ee304ee	ood_test	peach	peach06	113	113
14	103614	1754d2fdce501ea110a16f721435283f2f35662386cedabe1de886c4da42af08	ood_test	box	box14	114	114
15	104015	8a312c7c0fbf0f9d7c0954429d0158e594cabf60d32d2bcad1af3dab225f383c	ood_test	plate	plate15	115	115
16	108016	a21ddbdfe9d0d3bb0d0d5deabb6c19ceb6208d5f0256b5292e1954f4e6a5615b	ood_test	beer	beer19	116	116
17	108417	6de5b187c1c6a493d4812cf126b2ccbb279307f3678b5e61ea9af7543e47577c	ood_test	can	fcan17	117	117
18	103218	20972948559bdd58658b6bc0b267b5f7ba4f7bc94e99dcd2efecd7fa6a0dba6c	ood_test	tray	tray11	118	118
19	101619	ac25c34f8855e54e6adbc9c47333a1b7b7e53c2f1c8a7019dd74ccf0a3eff977	ood_test	lemon	lemon14	119	119
20	103620	56b1b73ebb18e5485adaf14f9a84a5679ee7721bb4da0250d2dd98528f8154c1	ood_test	avocado	avocado06	120	120
21	100421	3c401bdd11099737697caa76172e59e5543a27f280a6ba14f557277c64b8ef7c	ood_test	can	fcan18	121	121
22	105222	b6e88ba9dd054770f02e40a39eb243ba4d17caecd2c2a949b388bb0d22e2028b	ood_test	peach	peach06	122	122
23	104823	7d95e3b5ecaa9a67162a5a9514b01c5de5798ce7e71733a3df4170e44f5b37ac	ood_test	box	box14	123	123
24	101224	b742aeb3739403a3d823b5321c538d4547f13ab3a46bf82be9c5614f384324a5	ood_test	egg	egg12	124	124
25	100825	05226fefa210977e9886da841bb46e60c5b12587dc49805e049a8a968889d3d5	ood_test	bowl	bowl18	125	125
26	106826	f7a85dc41e090bed379c7686470cc3479a611f5f7b29dd7fade890601abda760	ood_test	orange	orange13	126	126
27	100827	be344115a61eb422e9f43c88d113f38f3bc3b75a6f589772f432b39a73f208f0	ood_test	egg	egg12	127	127
28	105228	7f1b1c18a030264caf4632afafa020103a782bd2bbe7d26ad3074aa8a3dfb8ff	ood_test	egg	egg12	128	128
29	100429	aad24fa94877ec3e818f19a7c9599a7b9f9402a5f483278f419ea7ab1ff5d82f	ood_test	plate	plate15	129	129
30	100030	5596ae10e0cd3bb8f91ee965c32cc92eb880b670663d930d5149f4175a025966	ood_test	box	box15	130	130
31	100031	770b7b90f7c9a10ae6f38d2400086f85ca16432f605f33abcb4c5e309c33ea2a	ood_test	plate	plate16	131	131
32	106832	7431ea82cad3250e2e1e6c20bd1ad20ee83d99871a0d3b0e97c9f29bf32473d6	ood_test	orange	orange12	132	132
33	106833	95178e03279ec2542cc5408c7964b893fb9f183dc451380d22030dd1ff5f45d2	ood_test	potato	potato17	133	133
34	105234	96fbac2c8c99ee69881c04f2edb0261f5f43ac3b1b1f4649397e55118b0ddb88	ood_test	beer	beer19	134	134
35	103235	d463df9adf64120c563179b4ad81fd0c370f74ed3fb8c926f2f3888937d40024	ood_test	egg	egg12	135	135
36	102036	b96abd9ba7d3f5b46be5b04fe9024a538d64394b4cd09c1e7f08e8a1b829196a	ood_test	kiwi	kiwi07	136	136
37	102837	dbcf0e4a44509fe826a7bedd09d020b09d1c6f9563391c0574f90c788f429352	ood_test	onion	onion10	137	137
38	108038	f93b6c22d801f74936994645c720f4caa1b8ec79bddf3d0afbff4311345a9a17	ood_test	egg	egg13	138	138
39	106439	c9b32bb7227b408bedb6b35607f501e2552640823a2da45f330b86cb6f0910c6	ood_test	can	fcan17	139	139
40	107640	e8928424c72224af5dd129ed8a068a62c49f92d75f332a77cd9406b33e749ccf	ood_test	beer	beer19	140	140
41	101641	b42c782f9694424e8594ec9f0c4021bfc26dbeba774ce3b885d0bcd6153736c0	ood_test	lemon	lemon15	141	141
42	107242	62af196f506a196f806ed5fc67fbc359c047a19841480a7a72366636603a53cf	ood_test	potato	potato17	142	142
43	106043	726b5ccf4e8c88a032b17ed076ce7d4fbfb83525353d1ee333ffa7eec50487e0	ood_test	tray	tray11	143	143
44	101244	8ae0d22fdb6ee010fccb94331d6d0ebd9e8fcf464610518d7d44bc9d341e52ff	ood_test	tray	tray12	144	144
45	104845	35a2f0c7d32495821fd1ca281dacd09c48344b5a3aa89fc9cd4efe5e6ca7b94f	ood_test	onion	onion09	145	145
46	106846	83c66e55b533fa4458559d11a32305b19718548f7b777334ecfe574ade4d86cd	ood_test	onion	onion10	146	146
47	100047	6ea6d64abd18226e9c1d0664b4fc288d5b67202b93dfb3803b303d3398a96572	ood_test	tray	tray11	147	147
48	100448	753a9ab0b7d5e9a0b2608b488fa493bfbe650872d72440e258b1986ac3018b5f	ood_test	tomato	tomato07	148	148
49	100049	ff49fabde5656db7f4229bed8cd2d110fa3379273b7464ebd65738988a203105	ood_test	bowl	bowl19	149	149
50	106850	bfd546749c4e2c5975f9ae1b6520680cf5ae5e79d53578e4cd24157aa3076811	ood_test	kiwi	kiwi07	150	150
51	101651	1f407ada59ebfe6efd59fc0bead95011f45ca799f2f0ea704d52f282ebc400de	ood_test	orange	orange13	151	151
52	106452	93a4fdd6427519c34e0f502e583afd9231c6af071537b457998cfcf246ace05a	ood_test	kiwi	kiwi07	152	152
53	100053	cca05498fc76fa013f7c59de92cd954e36418cc2038c869c9a1eb49b17912349	ood_test	peach	peach06	153	153
54	102854	2571cb6e92848c46851132d91ec705a241a6371bb3541706ec380af02457de90	ood_test	potato	potato18	154	154
55	105655	16b7bbb14e93e8fa2126f796f86150ed9bd6d75fc1eb255bdd180d200b3108e0	ood_test	avocado	avocado06	155	155
56	108856	30ad11bbdafc4cb2e957dc52b0aec1ab9ca9d8e2ab96b8d81833bea481646053	ood_test	bottle	wbottle23	156	156
57	106857	072dc2f24dbad9f357fc7557555219afc12483091bdd1f4b67b8f65242093d66	ood_test	can	fcan18	157	157
58	102058	64b67917c523e7999937ba8700f29aa92654d5af63a9c893400d256ab22d75e0	ood_test	tray	tray11	158	158
59	107259	8b4d553385e19f41ce69272b108701e3e4138b98d1c814cad304ad376cfba218	ood_test	potato	potato17	159	159
60	106060	c86df7e69f7c5cc07ed1eeb38c51d42ef150e04d462865f6ca7d840d43defef6	ood_test	can	fcan18	160	160
61	105261	ea0f600e9e15217ed3b825a69665d3192ffab7f41b1ea741764aa9b25cf41fcf	ood_test	peach	peach06	161	161
62	100062	21da7b2db710f3669522c6c02793364c5b480b0bdf641e333c77f85ba71d2162	ood_test	bottle	wbottle17	162	162
63	100863	98be48cebdaf0b9202856f5c3ffcc673b9fe6cfe29df7645881e3f8396c102b4	ood_test	can	fcan18	163	163
64	106464	5af927ef1b49d1e340f2b93ef7ef24ecc6fe1a587fff791fb904cb0d81393cf3	ood_test	bottle	wbottle23	164	164
65	108065	4194d1575fdc7837ce763d4175645522a63beb2355c8734451e56c3848aea2dd	ood_test	orange	orange12	165	165
66	100066	67fcfe8f5acd1d87957260ac71258d515e2acf559f7d7e708395baf8744ec408	ood_test	orange	orange13	166	166
67	107667	5a8fd4c4f30c0dee8bc5f6c7268f446807423a29898f884856ec07620dbafdd5	ood_test	bottle	wbottle23	167	167
68	109268	43626e3275949145d127ae3d8237d091976d57bd060c4c19d4501c720c178f48	ood_test	potato	potato18	168	168
69	101669	2164be33a5b37843edc6e1832ed8bad783064b06631b92cf64e771851c7fff6b	ood_test	tray	tray11	169	169
70	102870	a01175656490cd6a7b747aaf4d65a00e59d4e30327b6c57ba27b54c91008bf4a	ood_test	peach	peach06	170	170
71	100471	80ae5c45d866f8baacadd99d93d6b5dca22beef16d799e5a8c6bf35b66d6d1e1	ood_test	tomato	tomato07	171	171
72	107272	6f065550fa0ed4d436e516b690492b74c28e15455bf2bc37860622cd437d085b	ood_test	plate	plate15	172	172
73	105273	6743bd8d261bbc00215d836a505d83dd5fbce13cde9a2a6c04d41ab0bed05e60	ood_test	egg	egg12	173	173
74	102874	1bf4020a262cd09d500796db9238eeae00921aa3409181724e90be9ee8cff1b0	ood_test	potato	potato17	174	174
75	103675	d809cecd069d8fede8f8eedd3818bf1e0f28c33425bb085e36052199aa5dc954	ood_test	lemon	lemon15	175	175
76	104076	242fef8b215f8abd8383ab54f7da250e5ff31e05b171a23399cd0d877cc2c71a	ood_test	tomato	tomato07	176	176
77	101277	9c056fbc5400deeed85610772e284c54938b414e6a6c9bf6956a39ba5106425d	ood_test	can	fcan18	177	177
78	101278	e03d2b3b1503e669cfbda868388cc783a784f70971b69dd3dd63469aa455bfe9	ood_test	beer	beer19	178	178
79	108479	c9e3130820eccc8a5a262c671a43cc0b3b9218633de38740913845e6dfe48120	ood_test	potato	potato18	179	179
80	100880	113569f228be6974ef43d9083ab1026516fe8835745a20fe7eb0f68fd671e3a6	ood_test	onion	onion09	180	180
81	100481	538d3085e4f07703af082112097ed0ea065a1f6ee46ca98d48ba6931b77b995c	ood_test	beer	beer13	181	181
82	100082	49b540ddecb70e2894f1865c373a71d831e3ed1b6ec09112047efaaa3f8bbf15	ood_test	can	fcan17	182	182
83	100883	f4edcdb7c7a01cf9258cabf18d7953c8b8604d72911c2c2600eefe19b569941b	ood_test	tray	tray11	183	183
84	108084	a2067089da90d9830eda3ff446162610b5052d5236585dc0f41d45c162feb512	ood_test	lemon	lemon15	184	184
85	102085	e5de2baf82e6242ec41fdbe3702ddeb46d84b1810969e9d553089821e400e524	ood_test	tomato	tomato07	185	185
86	107286	68308ba0863778991104990b11f329daf32a352e0a556e50275c64b25a36d2db	ood_test	potato	potato17	186	186
87	102487	fc4d17acb2f7da026885d76e406d96f37ce2582e1aa382a6d5f52bbe0c8287d2	ood_test	peach	peach06	187	187
88	102088	6c2a452b34acc1253cbb7da2f57e898e9ccf7bc77fb3556dde4251ce18968a9c	ood_test	tomato	tomato07	188	188
89	100089	04286c853b970710f5979a343ac19d21a726f32f5845e1576a639af2c2f38bb8	ood_test	tray	tray12	189	189
90	100090	be2d9dcb4919dccdabfbacfc561a600502dfc040574baa2f522e232755aa6316	ood_test	peach	peach06	190	190
91	109691	d9b17f9509305434db27c70db515a52da5439f495ac92b1f428d1bf4f1d22658	ood_test	onion	onion10	191	191
92	108092	13ffd24205b7e0c46a5310d03fb97b3e7143dd477018800b834d4692fc0f4728	ood_test	onion	onion09	192	192
93	104093	9b2a3d779f39a93adc79a7a068379b972423fa7f1de3a0965aa2a8dda781ea42	ood_test	orange	orange13	193	193
94	106494	9376453a569243e7ea2d6af4909393c7aa8342a25a74c5e0e93ede4f942e2406	ood_test	egg	egg12	194	194
95	105695	eec59c03d46d78348b0291eef7d32dd24ac71a2ee83a1ce07bf614d07230dcaf	ood_test	tomato	tomato07	195	195
96	106496	63f3dd822ef8032c8742f4b4c688bde723ce31558a2da789e0e18e6f5ac5ef2e	ood_test	beer	beer19	196	196
97	106897	dc6ec95093d58f33b54a7ecf720d85079780a464e563fd199d445801376a359e	ood_test	kiwi	kiwi07	197	197
98	101298	062438c95df10c6af7043c230e12ab1afd83b519f01560a0ccb5626e0053ca2e	ood_test	peach	peach06	198	198
99	104499	6562042c3ed9d9927ad06144732ddba0c1429d61786e8006b1e1c1f0a110cdc3	ood_test	avocado	avocado08	199	199
100	102100	5c66352ade02280eebd01b77357d092eaae9dd54964c215bfcaa18ff55f809b5	ood_test	beer	beer19	200	200
101	106101	72b428fc59215e8f510bfc569a62cd3758f71129b1bcb5a0f9d2ba35148c6aa9	ood_test	can	fcan17	201	201
102	101302	d6b12a9f4375ef14cb00d8de0029ed9e3bd13bdecaa3da2490f01509b3dbc31b	ood_test	orange	orange12	202	202
103	101703	cec77e39ba56edead2f6e623df08963e5705ddcb6450fe5c66a718c53a29bf0d	ood_test	egg	egg13	203	203
104	100504	d7fb751b1f9e5bff7185261ae299e2ee85f848add4240813972a67e348f62f8f	ood_test	beer	beer19	204	204
105	101305	1362e442825ebe0a4c6bfbad42f9550b8b8aafa7016dfd98e014b0380d945d17	ood_test	plate	plate15	205	205
106	100106	86c93456e701d22a59c429827c525ff55aef13f9c51948fe213791dd41b7d2d9	ood_test	bowl	bowl18	206	206
107	107707	c2357e6ffa1857e3cd3fc4d4702f2815e3fb39f4c5e90336d1f2d7949f54d5ed	ood_test	orange	orange12	207	207
108	104508	eda452e8ff75ab1d990baf5929830b19abbbc556c3f56b5f81db49648b1e7b08	ood_test	can	fcan18	208	208
109	103709	a845580d3a1d4adcf110a0950911b7d94db5fb722d6a37b3c4a44cca35529507	ood_test	potato	potato18	209	209
110	103310	42f2c648f2d8efd56a691d0240ac3b425634da472f13a2bb772eb4ab436ba72a	ood_test	kiwi	kiwi07	210	210
111	108111	530415488b88dd7e320598b152356fb2a9068de64dd03be803643920c8f65ba6	ood_test	orange	orange13	211	211
112	103312	11d102fbb13d0eb88f374b130bf3aee0ca03ed42eb29720a9c804e163a1cf56c	ood_test	orange	orange12	212	212
113	104113	5bfab79e9c33418978ae8b3f989d4bd648fde49d0958f0c116f2e7a2a967fc11	ood_test	tray	tray11	213	213
114	104514	19b2495de3592493aeca408aade40f3eb8e33e5c8c20227de5a77ff56f8a9b03	ood_test	bowl	bowl18	214	214
115	100515	8e0e3708015efb7a3c49450176b4ce39a55f7a9f198a496408a9483bc4fb206f	ood_test	kiwi	kiwi07	215	215
