split,variant,best_epoch,seen_success_fa,seen_failure_detection,seen_failure_det_at_25,seen_failure_det_at_50,ood_success_fa,ood_failure_detection,ood_failure_det_at_25,ood_failure_det_at_50,q95,q99,conformal_mass
all_tasks_random,base,10,0.0,0.0,0.0,0.0,,,,,0.9995635747909546,0.9999938011169434,0.15
all_tasks_random,unc_raw,4,0.05555555555555555,0.9333333333333333,0.12222222222222222,0.6277777777777778,,,,,0.9936720132827759,0.9999475479125977,0.15
all_tasks_random,unc_summary,5,0.07222222222222222,0.9111111111111111,0.05,0.6,,,,,0.995377779006958,0.9998388886451721,0.15
all_tasks_random,unc_summary_only,28,0.0,0.0,0.0,0.0,,,,,0.9999767541885376,0.9999982714653015,0.15
all_tasks_random,unc_raw_dropout,5,0.05555555555555555,0.9111111111111111,0.011111111111111112,0.45,,,,,0.9966480731964111,0.9999358057975769,0.15
ood_suite_libero90,base,1,0.06504065040650407,0.9097744360902256,0.5112781954887218,0.6466165413533834,0.31153846153846154,0.8192307692307692,0.4230769230769231,0.7269230769230769,0.9640066623687744,0.9960898160934448,0.15
ood_suite_libero90,unc_raw,2,0.056910569105691054,0.9097744360902256,0.46616541353383456,0.6616541353383458,0.3153846153846154,0.8538461538461538,0.4269230769230769,0.7461538461538462,0.9772858023643494,0.9987921714782715,0.15
ood_suite_libero90,unc_summary,1,0.024390243902439025,0.8796992481203008,0.44360902255639095,0.6090225563909775,0.27692307692307694,0.7269230769230769,0.3769230769230769,0.6384615384615384,0.9711333513259888,0.9950475692749023,0.15
ood_suite_libero90,unc_summary_only,3,0.032520325203252036,0.8345864661654135,0.2781954887218045,0.5639097744360902,0.16153846153846155,0.7076923076923077,0.18846153846153846,0.6192307692307693,0.9929800033569336,0.9997910261154175,0.15
ood_suite_libero90,unc_raw_dropout,2,0.056910569105691054,0.8571428571428571,0.43609022556390975,0.6616541353383458,0.29615384615384616,0.8153846153846154,0.4307692307692308,0.7192307692307692,0.9784491062164307,0.9990577101707458,0.15
ood_task_holdout,base,1,0.15,0.9555555555555556,0.4222222222222222,0.8333333333333334,0.11923076923076924,0.8145161290322581,0.03225806451612903,0.49193548387096775,0.9123116135597229,0.9837687015533447,0.24075821042060852
ood_task_holdout,unc_raw,5,0.016666666666666666,0.8777777777777778,0.0,0.42777777777777776,0.019230769230769232,0.6290322580645161,0.0,0.07258064516129033,0.9958972334861755,0.9996528029441833,0.15
ood_task_holdout,unc_summary,6,0.016666666666666666,0.8333333333333334,0.0,0.3055555555555556,0.019230769230769232,0.5403225806451613,0.0,0.016129032258064516,0.9971110820770264,0.9996781349182129,0.15
ood_task_holdout,unc_summary_only,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996854066848755,0.9999769926071167,0.15
ood_task_holdout,unc_raw_dropout,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9997602701187134,0.9999769926071167,0.15
