Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2208/3751 [00:00<00:00, 22069.44it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 17760.08it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0_fine_tuned/last.pt...
Resuming at epoch 700 with best_val=0.106463
DEBUG: Starting training loop...
epoch=0700 train_loss=0.000773 val_seq_brier=0.106333 best=0.106463
epoch=0701 train_loss=0.000609 val_seq_brier=0.106216 best=0.106333
epoch=0702 train_loss=0.000665 val_seq_brier=0.106439 best=0.106216
epoch=0703 train_loss=0.000629 val_seq_brier=0.106308 best=0.106216
epoch=0704 train_loss=0.000645 val_seq_brier=0.105998 best=0.106216
epoch=0705 train_loss=0.000680 val_seq_brier=0.105314 best=0.105998
epoch=0706 train_loss=0.000706 val_seq_brier=0.105665 best=0.105314
epoch=0707 train_loss=0.000582 val_seq_brier=0.105304 best=0.105314
epoch=0708 train_loss=0.000719 val_seq_brier=0.106419 best=0.105304
epoch=0709 train_loss=0.001075 val_seq_brier=0.107477 best=0.105304
epoch=0710 train_loss=0.001133 val_seq_brier=0.106553 best=0.105304
epoch=0711 train_loss=0.000845 val_seq_brier=0.107873 best=0.105304
epoch=0712 train_loss=0.000632 val_seq_brier=0.107590 best=0.105304
epoch=0713 train_loss=0.000631 val_seq_brier=0.107121 best=0.105304
epoch=0714 train_loss=0.000666 val_seq_brier=0.107134 best=0.105304
epoch=0715 train_loss=0.000701 val_seq_brier=0.107846 best=0.105304
epoch=0716 train_loss=0.000809 val_seq_brier=0.108277 best=0.105304
epoch=0717 train_loss=0.000938 val_seq_brier=0.107116 best=0.105304
epoch=0718 train_loss=0.000634 val_seq_brier=0.107587 best=0.105304
epoch=0719 train_loss=0.000598 val_seq_brier=0.107158 best=0.105304
epoch=0720 train_loss=0.000613 val_seq_brier=0.107172 best=0.105304
epoch=0721 train_loss=0.000594 val_seq_brier=0.107212 best=0.105304
epoch=0722 train_loss=0.000595 val_seq_brier=0.107138 best=0.105304
epoch=0723 train_loss=0.000608 val_seq_brier=0.106929 best=0.105304
epoch=0724 train_loss=0.000619 val_seq_brier=0.106707 best=0.105304
epoch=0725 train_loss=0.000598 val_seq_brier=0.107098 best=0.105304
epoch=0726 train_loss=0.000589 val_seq_brier=0.106643 best=0.105304
epoch=0727 train_loss=0.000597 val_seq_brier=0.106745 best=0.105304
epoch=0728 train_loss=0.000606 val_seq_brier=0.106742 best=0.105304
epoch=0729 train_loss=0.000589 val_seq_brier=0.106811 best=0.105304
epoch=0730 train_loss=0.000626 val_seq_brier=0.106708 best=0.105304
epoch=0731 train_loss=0.000751 val_seq_brier=0.106543 best=0.105304
epoch=0732 train_loss=0.000617 val_seq_brier=0.106495 best=0.105304
epoch=0733 train_loss=0.000587 val_seq_brier=0.106481 best=0.105304
epoch=0734 train_loss=0.000581 val_seq_brier=0.106282 best=0.105304
epoch=0735 train_loss=0.000599 val_seq_brier=0.106030 best=0.105304
epoch=0736 train_loss=0.000602 val_seq_brier=0.106127 best=0.105304
epoch=0737 train_loss=0.000614 val_seq_brier=0.105923 best=0.105304
epoch=0738 train_loss=0.000590 val_seq_brier=0.105720 best=0.105304
epoch=0739 train_loss=0.000596 val_seq_brier=0.105746 best=0.105304
epoch=0740 train_loss=0.000585 val_seq_brier=0.105544 best=0.105304
