Using device: cuda
Loading dataset from intern_ship_ws/runs/tdqc_dataset/final_calibrated_3751rollouts.pt...
Processing 3751 episodes...
Loading Episodes:   0%|          | 0/3751 [00:00<?, ?it/s]Loading Episodes:  59%|█████▉    | 2221/3751 [00:00<00:00, 22195.63it/s]Loading Episodes: 100%|██████████| 3751/3751 [00:00<00:00, 18103.94it/s]
/home/redafrix/tests/intern_ship_research/intern_ship_ws/envs/simvla/lib/python3.10/site-packages/torch/optim/lr_scheduler.py:62: UserWarning: The verbose parameter is deprecated. Please use get_last_lr() to access the learning rate.
  warnings.warn(
Loaded 3751 episodes.
Split sizes: 2625 train, 562 val, 564 test.
DEBUG: Splitting dataset...
DEBUG: Creating DataLoaders...
DEBUG: Computing class weights...
DEBUG: total successes=2651, failures=1100
DEBUG: Initializing model...
Resuming from intern_ship_ws/runs/tdqc_calibrator/lstm_td0/last.pt...
Resuming at epoch 200 with best_val=0.174967
DEBUG: Starting training loop...
epoch=0200 train_loss=0.000548 val_seq_brier=0.174326 best=0.174967
epoch=0201 train_loss=0.000542 val_seq_brier=0.174204 best=0.174326
epoch=0202 train_loss=0.000550 val_seq_brier=0.174132 best=0.174204
epoch=0203 train_loss=0.000543 val_seq_brier=0.173807 best=0.174132
epoch=0204 train_loss=0.000546 val_seq_brier=0.173661 best=0.173807
epoch=0205 train_loss=0.000543 val_seq_brier=0.173103 best=0.173661
epoch=0206 train_loss=0.000547 val_seq_brier=0.173419 best=0.173103
epoch=0207 train_loss=0.000548 val_seq_brier=0.172539 best=0.173103
epoch=0208 train_loss=0.000547 val_seq_brier=0.172916 best=0.172539
epoch=0209 train_loss=0.000560 val_seq_brier=0.172316 best=0.172539
epoch=0210 train_loss=0.000570 val_seq_brier=0.171848 best=0.172316
epoch=0211 train_loss=0.000554 val_seq_brier=0.171438 best=0.171848
epoch=0212 train_loss=0.000554 val_seq_brier=0.171589 best=0.171438
epoch=0213 train_loss=0.000631 val_seq_brier=0.170891 best=0.171438
epoch=0214 train_loss=0.000558 val_seq_brier=0.171034 best=0.170891
epoch=0215 train_loss=0.000582 val_seq_brier=0.170830 best=0.170891
epoch=0216 train_loss=0.000556 val_seq_brier=0.170236 best=0.170830
epoch=0217 train_loss=0.000594 val_seq_brier=0.170070 best=0.170236
epoch=0218 train_loss=0.000557 val_seq_brier=0.169836 best=0.170070
epoch=0219 train_loss=0.000547 val_seq_brier=0.169664 best=0.169836
epoch=0220 train_loss=0.000587 val_seq_brier=0.169273 best=0.169664
epoch=0221 train_loss=0.000565 val_seq_brier=0.168376 best=0.169273
epoch=0222 train_loss=0.000563 val_seq_brier=0.169103 best=0.168376
epoch=0223 train_loss=0.000570 val_seq_brier=0.167829 best=0.168376
epoch=0224 train_loss=0.000555 val_seq_brier=0.167644 best=0.167829
epoch=0225 train_loss=0.000550 val_seq_brier=0.167803 best=0.167644
epoch=0226 train_loss=0.000545 val_seq_brier=0.167192 best=0.167644
epoch=0227 train_loss=0.000552 val_seq_brier=0.167134 best=0.167192
epoch=0228 train_loss=0.000611 val_seq_brier=0.166796 best=0.167134
epoch=0229 train_loss=0.000559 val_seq_brier=0.166690 best=0.166796
epoch=0230 train_loss=0.000576 val_seq_brier=0.166755 best=0.166690
epoch=0231 train_loss=0.000677 val_seq_brier=0.166496 best=0.166690
epoch=0232 train_loss=0.000587 val_seq_brier=0.166218 best=0.166496
epoch=0233 train_loss=0.000558 val_seq_brier=0.166027 best=0.166218
epoch=0234 train_loss=0.000550 val_seq_brier=0.165677 best=0.166027
epoch=0235 train_loss=0.000553 val_seq_brier=0.165522 best=0.165677
epoch=0236 train_loss=0.000560 val_seq_brier=0.165433 best=0.165522
epoch=0237 train_loss=0.000594 val_seq_brier=0.165748 best=0.165433
epoch=0238 train_loss=0.000621 val_seq_brier=0.164471 best=0.165433
epoch=0239 train_loss=0.000820 val_seq_brier=0.165229 best=0.164471
epoch=0240 train_loss=0.000588 val_seq_brier=0.163977 best=0.164471
epoch=0241 train_loss=0.000610 val_seq_brier=0.164200 best=0.163977
