Showing last 100 of 376 lines:
epoch=0255 train_loss=0.000585 val_seq_brier=0.178088 best=0.179391
epoch=0256 train_loss=0.000539 val_seq_brier=0.178610 best=0.178088
epoch=0257 train_loss=0.000520 val_seq_brier=0.178706 best=0.178088
epoch=0258 train_loss=0.000516 val_seq_brier=0.177493 best=0.178088
epoch=0259 train_loss=0.000538 val_seq_brier=0.179278 best=0.177493
epoch=0260 train_loss=0.000555 val_seq_brier=0.178490 best=0.177493
epoch=0261 train_loss=0.000535 val_seq_brier=0.179331 best=0.177493
epoch=0262 train_loss=0.000513 val_seq_brier=0.177509 best=0.177493
epoch=0263 train_loss=0.000510 val_seq_brier=0.178056 best=0.177493
epoch=0264 train_loss=0.000515 val_seq_brier=0.178834 best=0.177493
epoch=0265 train_loss=0.000498 val_seq_brier=0.177146 best=0.177493
epoch=0266 train_loss=0.000498 val_seq_brier=0.177168 best=0.177146
epoch=0267 train_loss=0.000506 val_seq_brier=0.176794 best=0.177146
epoch=0268 train_loss=0.000516 val_seq_brier=0.177407 best=0.176794
epoch=0269 train_loss=0.000566 val_seq_brier=0.177345 best=0.176794
epoch=0270 train_loss=0.000796 val_seq_brier=0.179046 best=0.176794
epoch=0271 train_loss=0.000614 val_seq_brier=0.178851 best=0.176794
epoch=0272 train_loss=0.001037 val_seq_brier=0.177848 best=0.176794
epoch=0273 train_loss=0.000735 val_seq_brier=0.179479 best=0.176794
epoch=0274 train_loss=0.000558 val_seq_brier=0.178071 best=0.176794
epoch=0275 train_loss=0.000497 val_seq_brier=0.178307 best=0.176794
epoch=0276 train_loss=0.000491 val_seq_brier=0.177364 best=0.176794
epoch=0277 train_loss=0.000493 val_seq_brier=0.177726 best=0.176794
epoch=0278 train_loss=0.000507 val_seq_brier=0.178061 best=0.176794
epoch=0279 train_loss=0.000502 val_seq_brier=0.177474 best=0.176794
epoch=0280 train_loss=0.000489 val_seq_brier=0.177297 best=0.176794
epoch=0281 train_loss=0.000486 val_seq_brier=0.176713 best=0.176794
epoch=0282 train_loss=0.000484 val_seq_brier=0.176134 best=0.176713
epoch=0283 train_loss=0.000483 val_seq_brier=0.175975 best=0.176134
epoch=0284 train_loss=0.000486 val_seq_brier=0.175693 best=0.175975
epoch=0285 train_loss=0.000483 val_seq_brier=0.175598 best=0.175693
epoch=0286 train_loss=0.000481 val_seq_brier=0.175057 best=0.175598
epoch=0287 train_loss=0.000483 val_seq_brier=0.174680 best=0.175057
epoch=0288 train_loss=0.000490 val_seq_brier=0.173884 best=0.174680
epoch=0289 train_loss=0.000697 val_seq_brier=0.172135 best=0.173884
epoch=0290 train_loss=0.000767 val_seq_brier=0.175393 best=0.172135
epoch=0291 train_loss=0.000554 val_seq_brier=0.175392 best=0.172135
epoch=0292 train_loss=0.000493 val_seq_brier=0.174951 best=0.172135
epoch=0293 train_loss=0.000486 val_seq_brier=0.175094 best=0.172135
epoch=0294 train_loss=0.000485 val_seq_brier=0.174929 best=0.172135
epoch=0295 train_loss=0.000484 val_seq_brier=0.173728 best=0.172135
epoch=0296 train_loss=0.000486 val_seq_brier=0.174281 best=0.172135
epoch=0297 train_loss=0.000489 val_seq_brier=0.173444 best=0.172135
epoch=0298 train_loss=0.000495 val_seq_brier=0.174165 best=0.172135
epoch=0299 train_loss=0.000483 val_seq_brier=0.173214 best=0.172135
epoch=0300 train_loss=0.000478 val_seq_brier=0.172869 best=0.172135
epoch=0301 train_loss=0.000473 val_seq_brier=0.173184 best=0.172135
epoch=0302 train_loss=0.000473 val_seq_brier=0.172280 best=0.172135
epoch=0303 train_loss=0.000467 val_seq_brier=0.173055 best=0.172135
epoch=0304 train_loss=0.000468 val_seq_brier=0.172511 best=0.172135
epoch=0305 train_loss=0.000469 val_seq_brier=0.172682 best=0.172135
epoch=0306 train_loss=0.000461 val_seq_brier=0.172213 best=0.172135
epoch=0307 train_loss=0.000463 val_seq_brier=0.172211 best=0.172135
epoch=0308 train_loss=0.000462 val_seq_brier=0.171732 best=0.172135
epoch=0309 train_loss=0.000462 val_seq_brier=0.171750 best=0.171732
epoch=0310 train_loss=0.000463 val_seq_brier=0.171550 best=0.171732
epoch=0311 train_loss=0.000460 val_seq_brier=0.171692 best=0.171550
epoch=0312 train_loss=0.000463 val_seq_brier=0.171619 best=0.171550
epoch=0313 train_loss=0.000461 val_seq_brier=0.171088 best=0.171550
epoch=0314 train_loss=0.000460 val_seq_brier=0.171078 best=0.171088
epoch=0315 train_loss=0.000462 val_seq_brier=0.171552 best=0.171078
epoch=0316 train_loss=0.000463 val_seq_brier=0.170122 best=0.171078
epoch=0317 train_loss=0.000463 val_seq_brier=0.171049 best=0.170122
epoch=0318 train_loss=0.000460 val_seq_brier=0.171049 best=0.170122
epoch=0319 train_loss=0.000461 val_seq_brier=0.170685 best=0.170122
epoch=0320 train_loss=0.000457 val_seq_brier=0.170520 best=0.170122
epoch=0321 train_loss=0.000457 val_seq_brier=0.170604 best=0.170122
epoch=0322 train_loss=0.000453 val_seq_brier=0.170964 best=0.170122
epoch=0323 train_loss=0.000455 val_seq_brier=0.170235 best=0.170122
epoch=0324 train_loss=0.000454 val_seq_brier=0.170726 best=0.170122
epoch=0325 train_loss=0.000473 val_seq_brier=0.170116 best=0.170122
epoch=0326 train_loss=0.000457 val_seq_brier=0.169431 best=0.170116
epoch=0327 train_loss=0.000457 val_seq_brier=0.169717 best=0.169431
epoch=0328 train_loss=0.000460 val_seq_brier=0.170360 best=0.169431
epoch=0329 train_loss=0.000463 val_seq_brier=0.169460 best=0.169431
epoch=0330 train_loss=0.000455 val_seq_brier=0.169584 best=0.169431
epoch=0331 train_loss=0.000464 val_seq_brier=0.168982 best=0.169431
epoch=0332 train_loss=0.000651 val_seq_brier=0.166442 best=0.168982
epoch=0333 train_loss=0.000527 val_seq_brier=0.167217 best=0.166442
epoch=0334 train_loss=0.000460 val_seq_brier=0.166110 best=0.166442
epoch=0335 train_loss=0.000438 val_seq_brier=0.166099 best=0.166110
epoch=0336 train_loss=0.000439 val_seq_brier=0.166087 best=0.166099
epoch=0337 train_loss=0.000436 val_seq_brier=0.165812 best=0.166087
epoch=0338 train_loss=0.000436 val_seq_brier=0.165659 best=0.165812
epoch=0339 train_loss=0.000435 val_seq_brier=0.165391 best=0.165659
epoch=0340 train_loss=0.000436 val_seq_brier=0.165813 best=0.165391
epoch=0341 train_loss=0.000434 val_seq_brier=0.165721 best=0.165391
epoch=0342 train_loss=0.000439 val_seq_brier=0.165761 best=0.165391
epoch=0343 train_loss=0.000436 val_seq_brier=0.164892 best=0.165391
epoch=0344 train_loss=0.000435 val_seq_brier=0.165517 best=0.164892
epoch=0345 train_loss=0.000434 val_seq_brier=0.165425 best=0.164892
epoch=0346 train_loss=0.000436 val_seq_brier=0.165088 best=0.164892
epoch=0347 train_loss=0.000436 val_seq_brier=0.165604 best=0.164892
epoch=0348 train_loss=0.000441 val_seq_brier=0.166138 best=0.164892
epoch=0349 train_loss=0.000439 val_seq_brier=0.165575 best=0.164892
epoch=0350 train_loss=0.000448 val_seq_brier=0.165534 best=0.164892
epoch=0351 train_loss=0.000440 val_seq_brier=0.166774 best=0.164892
epoch=0352 train_loss=0.000436 val_seq_brier=0.166299 best=0.164892
epoch=0353 train_loss=0.000436 val_seq_brier=0.166362 best=0.164892
epoch=0354 train_loss=0.000445 val_seq_brier=0.166785 best=0.164892
