variant,experiment_id,episode_id,success,outcome,minimum_tcp_distance_m,control_ticks,simulation_steps,decision_rows,scene_fingerprint
historical_ood150_baseline,EXP-014,000000,True,SUCCESS,0.010384815745055676,183,729,19,3acff2c145f6d7cb42de01c5ae66f693cf6f1c75ca5870eeee9cf106dd846ed9
historical_ood150_baseline,EXP-014,000001,False,FAILURE,0.3457801938056946,600,2400,60,7f855e76754e8bea1a6f5ff33be3aaca90ce648bbdab36c5d7992acf5eb5d341
historical_ood150_baseline,EXP-014,000002,True,SUCCESS,0.014298553578555584,150,599,15,edd742580e470718c4b7826155a5544088c99282cdde36c6d473f9b2018a8700
historical_ood150_baseline,EXP-014,000003,True,SUCCESS,0.008296722546219826,145,578,15,a1e61c09c268266338c6ea3b85d60c1760b85ce949b9e791e7772259315edcca
historical_ood150_baseline,EXP-014,000004,False,FAILURE,0.04790370166301727,600,2400,60,916c0c8860e4c6155ef56a49d90c8acf5df1dbecbb2ffa4c4c0b70b517d21096
historical_ood150_baseline,EXP-014,000005,True,SUCCESS,0.007247171364724636,143,569,15,be4fbbcb2854a643d7fa9ba094ae151f3543d43689143ecb3978ace72c5901fa
historical_ood150_baseline,EXP-014,000006,False,FAILURE,0.06624426692724228,600,2400,60,66c251421e7580f1612a3414275cff55ac36c0a66c137165f9cf1bbc6f6163a7
historical_ood150_baseline,EXP-014,000007,False,FAILURE,0.020254114642739296,600,2400,60,6831a2e66679615be45f21ecfef61dedc8f09c53a6532a2c2fe0a3612bbf2452
historical_ood150_baseline,EXP-014,000008,True,SUCCESS,0.013024650514125824,196,783,20,c89178e9d1b4bf074b573680d7505d851631c8b6045084b84fdd05e055966a5d
historical_ood150_baseline,EXP-014,000009,True,SUCCESS,0.008211476728320122,185,739,19,33c71c5c5c5a5418c64168cc26320e82b3fd8be5f0550b3a56e7405e549b757f
historical_ood150_baseline,EXP-014,000010,True,SUCCESS,0.009982696734368801,163,649,17,63b7fb79b8f302f9031539d58ad5fb0c9c5e4df644b409c07d200b01aaf81616
historical_ood150_baseline,EXP-014,000011,True,SUCCESS,0.01546791847795248,138,552,14,7c78504af311b89b7efc5be577eba60b5723a65b5a82665cbe22aed2ada4e401
historical_ood150_baseline,EXP-014,000012,True,SUCCESS,0.011059511452913284,187,747,19,811f6f72ec12861d921abb78a41fbbf6f9076c21c2b9d6e2bb37c3023697158e
historical_ood150_baseline,EXP-014,000013,False,FAILURE,0.16467711329460144,600,2400,60,892d5ed4ae251e27347223de33152206f5f3ad92123a00bfa0b09cf9e485b612
historical_ood150_baseline,EXP-014,000014,False,FAILURE,0.3087843358516693,600,2400,60,d951d5681d992662ded3e88c8b4a4bd8a2c6a248a9977b6cc3a4e18c7f9060cb
historical_ood150_baseline,EXP-014,000015,True,SUCCESS,0.01295904628932476,169,673,17,95aee573a106acf0cf858aef405f2d7dcf8d26d7cb8924f6e1b41c8a0960c763
historical_ood150_baseline,EXP-014,000016,False,FAILURE,0.3166562616825104,600,2400,60,b25425f7a59bd15194e2cf6091dccb0942e79f8c5e8dc0601c252f55ed6f7b3c
historical_ood150_baseline,EXP-014,000018,True,SUCCESS,0.015220889821648598,162,646,17,59f686a897834aacdc58f26b252734d60200032d6742756aebbed6f9108acbac
historical_ood150_baseline,EXP-014,000019,True,SUCCESS,0.0117676155641675,140,559,14,821d3c67ac59ac852af9c318500c27fe15b14163045a5b396167229dc9f2cd51
historical_ood150_baseline,EXP-014,000020,True,SUCCESS,0.0028774344827979803,197,788,20,9a3b7fec128b033fb7d9fb8ca564a78d1f20780f41f59d4f98bc071c58bc1018
historical_ood150_baseline,EXP-014,000022,False,FAILURE,0.028700903058052063,600,2400,60,d16971770932ddb6748cb48809e9f0bc670c1c34557e66d606dfb4cc7345111a
historical_ood150_baseline,EXP-014,000023,False,FAILURE,0.027065055444836617,600,2400,60,6c02513db605d7ae1f9276522f01de55a2193bdae7caddba3e0307368ffe1bc8
historical_ood150_baseline,EXP-014,000025,True,SUCCESS,0.005428687669336796,169,675,17,d01fd874184f65f82fa053f6e61596f9c3d46759a840bf5b87dfb7173f73370c
historical_ood150_baseline,EXP-014,000026,True,SUCCESS,0.012010612525045872,142,565,15,a1b0b2e69141934bcb89e9e9b76daf100f0fc705fd141757aebb118ddd5f137b
historical_ood150_baseline,EXP-014,000027,False,FAILURE,0.37804511189460754,600,2400,60,61ff0e9d51b669fadb8e9fb5e7c2bb45a99c9712666613bce1361d0565b90055
historical_ood150_baseline,EXP-014,000028,True,SUCCESS,0.007098727859556675,180,720,18,4681ab86434160cb4a0be79aeedc82340482f8375dce303a4e3271cf1a3293aa
historical_ood150_baseline,EXP-014,000029,False,FAILURE,0.14473775029182434,600,2400,60,1ad58480c1cd3a96fc4f1ece5603fde4503fa5163190dedee2507b54c917abc7
historical_ood150_baseline,EXP-014,000030,False,FAILURE,0.3099853992462158,600,2400,60,253b2d460229764008a74bbbd9c20df861b2755f4cfd6521f1f47c7f31b644e3
historical_ood150_baseline,EXP-014,000031,False,FAILURE,0.26599690318107605,600,2400,60,d15eb91027eca63ed05d075f9f84d146c584a0059dd4c63390b3b28999922e91
historical_ood150_baseline,EXP-014,000032,True,SUCCESS,0.007402197923511267,185,738,19,3606a5a04173bc23f4d8a809f7d32f6f0f521b53fc68184932477234b66489eb
historical_ood150_baseline,EXP-014,000033,False,FAILURE,0.35349729657173157,600,2400,60,503d0cd7243c97e61965f8ef2ae884b8560887b09735d6418f376253aed7436d
historical_ood150_baseline,EXP-014,000034,True,SUCCESS,0.012620261870324612,169,673,17,79370367707c06afd25f599805f387cd4082ae258ab786e06d3af1cdc03b8393
historical_ood150_baseline,EXP-014,000036,True,SUCCESS,0.010397892445325851,140,557,14,e38efaa85bf4b9341aa753eab6cd422c30791d5e7644da251960abf6e2cc2d17
historical_ood150_baseline,EXP-014,000037,True,SUCCESS,0.007345104124397039,207,827,21,c2cf38148568f4ce51d57735f18f9d7c5516fc28c9ee0c125cfc7a0be321118b
historical_ood150_baseline,EXP-014,000038,False,FAILURE,0.029660087078809738,600,2400,60,128871f0205438bbb42ef5db235e8553c77702f1fb42f0d30e0d526bab62cff5
historical_ood150_baseline,EXP-014,000039,False,FAILURE,0.06513222306966782,600,2400,60,35d76876df2b24e3df7bfbbd2848b351c2ee0c6cfdd9809c91c98ee4afcf008d
historical_ood150_baseline,EXP-014,000040,False,FAILURE,0.1566254198551178,600,2400,60,9ff270ec772377fb67976b293efc836c5bd57384ec2386c2e3210786c046b823
historical_ood150_baseline,EXP-014,000042,True,SUCCESS,0.00917738489806652,85,338,9,7305c1dc9e5904c288fd024a03ced5aa6553ef78b63da46bb7a49553a0b085ba
historical_ood150_baseline,EXP-014,000043,False,FAILURE,0.3974881172180176,600,2400,60,aaafb41ab02e4f78925393f933680d103f62256f41afa082065db39299a19379
historical_ood150_baseline,EXP-014,000044,False,FAILURE,0.02156156860291958,600,2400,60,4a8f869710b6d715e9512abf837e3caa255ea09f621450994a4724f595a3b09c
historical_ood150_baseline,EXP-014,000045,False,FAILURE,0.07292677462100983,600,2400,60,96275868ef23d3d043a43f5c0b247f25f469fc363ded04376dae708e6b088781
historical_ood150_baseline,EXP-014,000046,True,SUCCESS,0.003959896508604288,177,705,18,314b3e3f6962e9aac55588b0452ce4de321bac8c8d229936f1792c683c8cad42
historical_ood150_baseline,EXP-014,000047,True,SUCCESS,0.005035605747252703,168,669,17,6152ccbf8e406f44b763c659481521463c769d22e25c15d96876992aaf936559
historical_ood150_baseline,EXP-014,000048,True,SUCCESS,0.008304055780172348,133,529,14,1b2a4176fa4ef9f0f4fdb607ebe117b95deb5f85bcb97198829b57028317972b
historical_ood150_baseline,EXP-014,000049,False,FAILURE,0.34860560297966003,600,2400,60,1b778b730ceabce35e50b6b10fb34ce6d4992a2e82c8831256348fe6d8a4508d
historical_ood150_baseline,EXP-014,000050,True,SUCCESS,0.014256244525313377,162,645,17,eea35d5caeafd7804e32f482d5737aed072f21cb3a5703200a68a87a4999184d
historical_ood150_baseline,EXP-014,000051,True,SUCCESS,0.008816133253276348,85,340,9,0f0af68c27c1f4652801062dc277726ba4098a4bcb8a7219578f8e130b1656ba
historical_ood150_baseline,EXP-014,000052,True,SUCCESS,0.009764201007783413,203,810,21,d48a9f3f9b64378f7c14cfc437e3ace656f310a362e3ac72fca4ac711effcde8
historical_ood150_baseline,EXP-014,000055,True,SUCCESS,0.013693185523152351,194,776,20,20f8e87ae5b71ab71c58814ed824c7b0ef19e1a62cf1db2cc3320fdfa43ae584
historical_ood150_baseline,EXP-014,000056,True,SUCCESS,0.006959443911910057,178,712,18,8f0a92007a8d56c7bb96c7273738bc59ad50d890f567b223b35ad27a98d1e057
historical_ood150_baseline,EXP-014,000057,True,SUCCESS,0.002759250346571207,178,709,18,1b69eeca61e5d5a1924bafbf55bbdeb5b5fe71e4290cf9e49288feb424b458e2
historical_ood150_baseline,EXP-014,000059,False,FAILURE,0.36746856570243835,600,2400,60,7f3fb30bc821a9cdfe56d5bb365157cfa3aa587206d476fcb4a76b00908f3f86
historical_ood150_baseline,EXP-014,000061,False,FAILURE,0.3787444829940796,600,2400,60,3395f39af495cfc2d35465c60c040911dcebfc3cbb1d34a8c44434d629a5ba03
historical_ood150_baseline,EXP-014,000062,False,FAILURE,0.3040175139904022,600,2400,60,ca2ed5b3659742649ad3983bbba39902e260273c4bd3fe22ccc6a3ce301049d7
historical_ood150_baseline,EXP-014,000063,False,FAILURE,0.2577677071094513,600,2400,60,4038af9302e1cc96ca272f02c65fcf96af489a1fea2176a692daca8a9faecddd
historical_ood150_baseline,EXP-014,000064,False,FAILURE,0.3173867464065552,600,2400,60,6bf4be3044c27912cb8f5d5306d83811be615cd21fb82a98aee6e61d0dd0637b
historical_ood150_baseline,EXP-014,000068,True,SUCCESS,0.007171963807195425,147,586,15,fe6899d86971c36fa1bb09efc78f1f2dbda4f70c012357e4fe543a4d09392254
historical_ood150_baseline,EXP-014,000069,False,FAILURE,0.07675828784704208,600,2400,60,26d60d79fc04e27de76b1fbef43cca9002b14f0a393e7102c5a4bd9914afa8ca
historical_ood150_baseline,EXP-014,000070,False,FAILURE,0.040663138031959534,600,2400,60,fc4a7b4fbc42113f26ae6445b9c646056118632c129ec694999aca8daffe0d5d
historical_ood150_baseline,EXP-014,000072,False,FAILURE,0.10952722281217575,600,2400,60,44de377d40f7f8757cc0d03d69cf29dea3f69ddc0a050c64a5fbac1e010a75f1
historical_ood150_baseline,EXP-014,000073,True,SUCCESS,0.007588386069983244,176,702,18,c6ec4bcb6e9751a12fe83fc40d835de79ab4027b6e2925a178462c1f80b55bf7
historical_ood150_baseline,EXP-014,000077,False,FAILURE,0.09094306081533432,600,2400,60,b3bad4da5097aa0b81e11e9d99efc7e49ebd81eafbd2a6730b2066310b59f904
historical_ood150_baseline,EXP-014,000079,False,FAILURE,0.29147765040397644,600,2400,60,4ded8dac67c822d040af9caabdd5b00260c334b0694faa4e5a0d9aea278c6d71
historical_ood150_baseline,EXP-014,000080,True,SUCCESS,0.006790678482502699,166,664,17,68b0f861767d56dd57177f043c9b7e90cf3abbbf6ec13a889cc2ab99479077f9
historical_ood150_baseline,EXP-014,000081,False,FAILURE,0.40093591809272766,600,2400,60,938ea93d18b6ab1db3377f659d183961fa9ba34b98c1a81810580203ea07c417
historical_ood150_baseline,EXP-014,000082,True,SUCCESS,0.0028922369237989187,160,640,16,f7e0f5e690e8a073b96fd4b89e32cf6546ec960619cf920672915fc09aa01868
