variant,experiment_id,episode_id,benchmark_episode_id,success,outcome,minimum_tcp_distance_m,control_ticks,simulation_steps,decision_rows,scene_fingerprint,intervention_count,baseline_success,paired_category_vs_baseline,paired_category_vs_other_controller
baseline,EXP-008,000000,0,True,SUCCESS,0.029861580580472946,135,539,14,3448c02e258e426b42d031f8a027dbcfac7872fd7911fda144ed814c30c217ac,0,True,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000000,0,True,SUCCESS,0.02980164624750614,135,540,14,3448c02e258e426b42d031f8a027dbcfac7872fd7911fda144ed814c30c217ac,0,True,S_TO_S,BOTH_SUCCEED
q95_symmetric,EXP-010,000000,0,True,SUCCESS,0.029617995023727417,135,539,14,3448c02e258e426b42d031f8a027dbcfac7872fd7911fda144ed814c30c217ac,0,True,S_TO_S,BOTH_SUCCEED
baseline,EXP-008,000001,1,False,FAILURE,0.26873165369033813,350,1400,35,14c3036f483f82b3ed36ada2fbaac9141dfa1e8e02491c4d7a6337d25b5f02aa,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000001,1,False,FAILURE,0.26951864361763,350,1400,35,14c3036f483f82b3ed36ada2fbaac9141dfa1e8e02491c4d7a6337d25b5f02aa,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000001,1,False,FAILURE,0.2690782845020294,350,1400,35,14c3036f483f82b3ed36ada2fbaac9141dfa1e8e02491c4d7a6337d25b5f02aa,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000002,2,False,FAILURE,0.24901722371578217,350,1400,35,2eea2bd6569ccf746614142bf00209037d192b14d315071b594f36581a1217b9,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000002,2,False,FAILURE,0.24675977230072021,350,1400,35,2eea2bd6569ccf746614142bf00209037d192b14d315071b594f36581a1217b9,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000002,2,False,FAILURE,0.24855487048625946,350,1400,35,2eea2bd6569ccf746614142bf00209037d192b14d315071b594f36581a1217b9,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000003,3,False,FAILURE,0.19886143505573273,350,1400,35,c99dc514193a46a7cc9d389d89588d989221fa0183606a9733242a453063ffb6,0,False,BASELINE_IDENTITY,N/A
c090_primary,EXP-009,000003,3,False,FAILURE,0.19803518056869507,350,1400,35,c99dc514193a46a7cc9d389d89588d989221fa0183606a9733242a453063ffb6,0,False,F_TO_F,BOTH_FAIL
q95_symmetric,EXP-010,000003,3,False,FAILURE,0.1991695761680603,350,1400,35,c99dc514193a46a7cc9d389d89588d989221fa0183606a9733242a453063ffb6,0,False,F_TO_F,BOTH_FAIL
baseline,EXP-008,000004,4,True,SUCCESS,0.029549885541200638,142,566,15,8c1fec862ea7bed8ed35274a02e66ac9b36bb60c93e61f1addfeac1be82eea55,0,True,BASELINE_IDENTITY,N/A
