experiment_id,experiment_key,benchmark,protocol,split,episodes,successes,failures,success_rate,baseline_success_rate,delta_success_pp,rescues,regressions,net_rescues,decisions,interventions,intervention_rate,episodes_touched,episode_intervention_rate,query_auroc,query_auprc,episode_auroc,episode_auprc,threshold_a,threshold_c,threshold_m,canonicality,scientific_status,use_for_primary_results,family
EXP-001,simvla_basic_no_rotation,isaac_mixed_reaching_pick_place_smoke,PROTO-EXPLORATORY-PER-EXPERIMENT,smoke,10,0,10,0.0,,,,,,,0,0.0,0,0.0,,,,,,,,historical_reference,historical_reference,False,simvla_early_tests
EXP-002,pi05_libero_isaac,isaac_mixed_reaching_pick_place_collection_limit,PROTO-EXPLORATORY-PER-EXPERIMENT,exploratory_eval,10,0,10,0.0,,,,,,,0,0.0,0,0.0,,,,,,,,historical_reference,historical_reference,False,pi05_exploration
EXP-003,pi05_droid_isaac,isaac_mixed_reaching_pick_place_collection_limit,PROTO-EXPLORATORY-PER-EXPERIMENT,exploratory_eval,10,0,10,0.0,,,,,,,0,0.0,0,0.0,,,,,,,,historical_reference,historical_reference,False,pi05_exploration
EXP-004,video_outputs_and_labels,video_postprocessing,PROTO-INFRASTRUCTURE-NO-SCIENTIFIC-ROLLOUT,dev,0,0,0,,,,,,,,0,0.0,0,0.0,,,,,,,,noncanonical,development_only,False,infrastructure
EXP-005,xvla_libero_isaac,isaac_xvla_smoke_validation,PROTO-EXPLORATORY-PER-EXPERIMENT,smoke,2,0,2,0.0,,,,,,,0,0.0,0,0.0,,,,,,,,noncanonical,development_only,False,xvla_exploration
EXP-006,seen4904_3cm350_main_v2,isaac_seen4904_h10_3cm350_exact_v1,PROTO-ISAAC-3CM350-H10-V1,dataset_full,4904,4387,517,0.8945758564437194,,,,,,96813,0,0.0,0,0.0,,,,,,,,canonical_primary,valid,True,risk_model_training
EXP-007,ood150_3cm350_exact_only_main_v2,locked_h10_ood150_exact_only,PROTO-ISAAC-3CM350-H10-V1,ood_transfer_exact_only,136,72,64,0.5294117647058824,,,,,,3447,0,0.0,0,0.0,0.9200878062492603,0.9621235135144359,0.9954427083333334,0.9939601620974798,,,,canonical_primary,valid,True,risk_model_offline_eval
EXP-008,ood400_simvla_baseline_3cm350_v2,reaching_mimic_risk_ood400,PROTO-ISAAC-3CM350-H10-V1,ood400_eval,400,215,185,0.5375,0.5375,0.0,,,,9913,0,0.0,0,0.0,,,,,,,,canonical_baseline,valid,True,ood400_canonical
EXP-009,ood400_topk_main_v2_q99_success_c090,reaching_mimic_risk_ood400,PROTO-ISAAC-3CM350-H10-V1,ood400_eval,400,225,175,0.5625,0.5375,2.5,17,7,10,9724,87,0.008946935417523652,67,0.1675,,,,,0.8792325258255005,0.9,0.0,canonical_primary,valid,True,ood400_canonical
EXP-010,ood400_topk_main_v2_q95_symmetric_c066432,reaching_mimic_risk_ood400,PROTO-ISAAC-3CM350-H10-V1,ood400_eval,400,224,176,0.56,0.5375,2.25,16,7,9,9790,30,0.0030643513789581204,28,0.07,,,,,0.6643207669258118,0.6643207669258118,0.0,canonical_ablation,valid,True,ood400_canonical
EXP-011,ood400_c090_vs_q95_controller_ablation,reaching_mimic_risk_ood400,PROTO-ISAAC-3CM350-H10-V1,paired_comparison,400,,,,,,,,,,,,,,,,,,,,,canonical_ablation,valid,True,ood400_comparison
