episode_key,split,machine,campaign,instance,episode_id,suite,task_id,group,outcome,rows,first_timestep,last_timestep,source_path
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r0,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r0,libero_goal_object,0,object,success,122,0,121,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r1,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r1,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r10,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r10,libero_goal_object,0,object,success,172,0,171,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r11,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r11,libero_goal_object,0,object,success,105,0,104,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r12,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r12,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r13,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r13,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r14,success_test_id,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r14,libero_goal_object,0,object,success,207,0,206,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r15,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r15,libero_goal_object,0,object,success,114,0,113,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r16,success_calib,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r16,libero_goal_object,0,object,success,125,0,124,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r17,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r17,libero_goal_object,0,object,success,197,0,196,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r18,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r18,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r19,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r19,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r2,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r2,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r20,success_calib,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r20,libero_goal_object,0,object,success,191,0,190,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r21,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r21,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r22,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r22,libero_goal_object,0,object,success,103,0,102,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r23,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r23,libero_goal_object,0,object,success,129,0,128,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r24,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r24,libero_goal_object,0,object,success,123,0,122,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r25,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r25,libero_goal_object,0,object,success,113,0,112,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r26,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r26,libero_goal_object,0,object,success,117,0,116,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r27,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r27,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r28,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r28,libero_goal_object,0,object,success,283,0,282,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r29,failure_eval_all,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r29,libero_goal_object,0,object,failure_or_timeout,300,0,299,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r3,success_train,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r3,libero_goal_object,0,object,success,123,0,122,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
bob|fiper_sweep_eternal|instance_A|libero_goal_object_t0_r30,success_test_id,bob,fiper_sweep_eternal,instance_A,libero_goal_object_t0_r30,libero_goal_object,0,object,success,118,0,117,/media/rootalkhatib/My Passport/reda_ws/asynchvla_ws/stage9_libero_pro_risk_data/campaigns/fiper_sweep_eternal/instance_A/fiper_receding_samples.jsonl
