rank,name,mode,model,objective,best_epoch,success_test_seen_or_q95_K3_fa,success_test_ood_or_q95_K3_fa,failure_test_seen_or_q95_K3_det,failure_test_seen_or_q95_K3_det25,failure_eval_ood_or_q95_K3_det,failure_eval_ood_or_q95_K3_det25,failure_eval_ood_or_q95_K3_mean_time,success_test_ood_score_q95_K3_fa,failure_eval_ood_score_q95_K3_det25,success_test_seen_score_q99_K3_fa,success_test_ood_score_q99_K3_fa,failure_eval_ood_score_q99_K3_det,success_test_seen_hardstop_q99_K3_fa,success_test_ood_hardstop_q99_K3_fa,failure_eval_ood_hardstop_q99_K3_det,failure_eval_ood_hardstop_q99_K3_det25
1,v2_009_tcn_k32_verylong,supervised,seq_tcn,2.996825396825397,1,0.006349206349206349,,1.0,1.0,,,,,,0.0,,,,,,
2,v2_020_tcn_k8_no_current_ace,supervised,seq_tcn,1.033160800552105,1,0.020634920634920634,,0.8115942028985508,0.11594202898550725,,,,,,0.0031746031746031746,,,,,,
3,v2_044_transformer_k8_focal,supervised,seq_transformer,0.9775707384403037,1,0.015873015873015872,,0.855072463768116,0.06521739130434782,,,,,,0.0015873015873015873,,,,,,
4,v2_018_transformer_k16,supervised,seq_transformer,0.9734989648033125,1,0.009523809523809525,,0.7898550724637681,0.09420289855072464,,,,,,0.0031746031746031746,,,,,,
5,v2_017_transformer_medium_k8,supervised,seq_transformer,0.9308143547273982,1,0.007936507936507936,,0.7898550724637681,0.07246376811594203,,,,,,0.0031746031746031746,,,,,,
6,v2_030_tcn_k8_focal,supervised,seq_tcn,0.9292270531400967,1,0.011111111111111112,,0.8333333333333334,0.050724637681159424,,,,,,0.0031746031746031746,,,,,,
7,v2_026_tcn_k8_seqstats_static,supervised,seq_tcn,0.9292270531400966,1,0.011111111111111112,,0.7898550724637681,0.07246376811594203,,,,,,0.0015873015873015873,,,,,,
8,v2_027_tcn_k8_wide256,supervised,seq_tcn,0.9139406487232575,1,0.012698412698412698,,0.8333333333333334,0.043478260869565216,,,,,,0.0015873015873015873,,,,,,
9,v2_014_gru_k8,supervised,seq_gru,0.9059006211180124,1,0.014285714285714285,,0.7971014492753623,0.057971014492753624,,,,,,0.0031746031746031746,,,,,,
10,v2_004_tcn_k6_midshort,supervised,seq_tcn,0.883367839889579,1,0.015873015873015872,,0.8043478260869565,0.043478260869565216,,,,,,0.0031746031746031746,,,,,,
11,v2_025_tcn_k8_flat_action_static,supervised,seq_tcn,0.8792960662525879,1,0.009523809523809525,,0.7971014492753623,0.043478260869565216,,,,,,0.0015873015873015873,,,,,,
12,v2_015_gru_k16,supervised,seq_gru,0.8777087646652865,1,0.012698412698412698,,0.8115942028985508,0.036231884057971016,,,,,,0.0031746031746031746,,,,,,
13,v2_028_tcn_k8_lowdrop,supervised,seq_tcn,0.8761214630779848,1,0.015873015873015872,,0.7971014492753623,0.043478260869565216,,,,,,0.0031746031746031746,,,,,,
14,v2_016_transformer_small_k8,supervised,seq_transformer,0.8728433402346446,1,0.007936507936507936,,0.7318840579710145,0.07246376811594203,,,,,,0.0,,,,,,
15,v2_002_tcn_k2_short,supervised,seq_tcn,0.8624223602484473,1,0.014285714285714285,,0.782608695652174,0.043478260869565216,,,,,,0.0031746031746031746,,,,,,
16,v2_037_groupdro_target_tcn_k8,supervised,seq_tcn,0.8608350586611456,1,0.01746031746031746,,0.7971014492753623,0.036231884057971016,,,,,,0.0015873015873015873,,,,,,
17,v2_006_tcn_k12_mid,supervised,seq_tcn,0.8559696342305038,1,0.012698412698412698,,0.7898550724637681,0.036231884057971016,,,,,,0.0031746031746031746,,,,,,
18,v2_010_lstm_k4_short,supervised,seq_lstm,0.8543823326432023,1,0.015873015873015872,,0.8043478260869565,0.028985507246376812,,,,,,0.0031746031746031746,,,,,,
19,v2_012_lstm_k16_long,supervised,seq_lstm,0.8495169082125604,1,0.011111111111111112,,0.782608695652174,0.036231884057971016,,,,,,0.0031746031746031746,,,,,,
20,v2_021_tcn_k8_no_ace_history,supervised,seq_tcn,0.8495169082125604,1,0.011111111111111112,,0.782608695652174,0.036231884057971016,,,,,,0.0031746031746031746,,,,,,
21,v2_003_tcn_k4_short,supervised,seq_tcn,0.8438578329882678,1,0.007936507936507936,,0.7608695652173914,0.043478260869565216,,,,,,0.0031746031746031746,,,,,,
