rank,name,mode,model,objective,best_epoch,success_test_seen_or_q95_K3_fa,success_test_ood_or_q95_K3_fa,failure_test_seen_or_q95_K3_det,failure_test_seen_or_q95_K3_det25,failure_eval_ood_or_q95_K3_det,failure_eval_ood_or_q95_K3_det25,failure_eval_ood_or_q95_K3_mean_time,success_test_ood_score_q95_K3_fa,failure_eval_ood_score_q95_K3_det25,success_test_seen_score_q99_K3_fa,success_test_ood_score_q99_K3_fa,failure_eval_ood_score_q99_K3_det,success_test_seen_hardstop_q99_K3_fa,success_test_ood_hardstop_q99_K3_fa,failure_eval_ood_hardstop_q99_K3_det,failure_eval_ood_hardstop_q99_K3_det25
1,v2_009_tcn_k32_verylong,supervised,seq_tcn,2.988589706439605,1,0.016227180527383367,0.002197802197802198,0.975,0.6166666666666667,1.0,1.0,0.1309010673234811,0.0,1.0,0.0,0.0,1.0,,,,
2,v2_020_tcn_k8_no_current_ace,supervised,seq_tcn,1.909773272704307,1,0.034482758620689655,0.020879120879120878,0.8083333333333333,0.14166666666666666,0.9305555555555556,0.5138888888888888,0.3528049408131754,0.017582417582417582,0.2916666666666667,0.002028397565922921,0.0,0.25,,,,
3,v2_037_groupdro_target_tcn_k8,supervised,seq_tcn,1.8617573996884342,1,0.034482758620689655,0.006593406593406593,0.7833333333333333,0.10833333333333334,0.9444444444444444,0.4722222222222222,0.3798717762967256,0.004395604395604396,0.3194444444444444,0.0,0.0,0.20833333333333334,,,,
4,v2_031_tcn_k8_pos2,supervised,seq_tcn,1.8413331203392056,1,0.02636916835699797,0.004395604395604396,0.7833333333333333,0.1,0.9166666666666666,0.4722222222222222,0.3787319002836244,0.002197802197802198,0.3194444444444444,0.002028397565922921,0.0,0.2777777777777778,,,,
5,v2_012_lstm_k16_long,supervised,seq_lstm,1.8075960888334113,1,0.028397565922920892,0.007692307692307693,0.7583333333333333,0.1,0.9166666666666666,0.4583333333333333,0.37494402149574557,0.004395604395604396,0.2638888888888889,0.004056795131845842,0.0,0.3888888888888889,,,,
6,v2_040_adv_target_tcn_k8,supervised,seq_tcn,1.7976380561066159,1,0.030425963488843813,0.004395604395604396,0.7666666666666667,0.075,0.9305555555555556,0.4444444444444444,0.386092934343063,0.002197802197802198,0.3055555555555556,0.0,0.0,0.3472222222222222,,,,
7,v2_005_tcn_k8_idea41,supervised,seq_tcn,1.7944092756465981,1,0.028397565922920892,0.016483516483516484,0.8,0.175,0.9444444444444444,0.4444444444444444,0.3846167777455809,0.013186813186813187,0.3472222222222222,0.004056795131845842,0.001098901098901099,0.4722222222222222,,,,
8,v2_011_lstm_k8_idea44,supervised,seq_lstm,1.790030450730248,1,0.032454361054766734,0.008791208791208791,0.775,0.1,0.9305555555555556,0.4444444444444444,0.3778582457172266,0.006593406593406593,0.3055555555555556,0.002028397565922921,0.0,0.375,,,,
9,v2_042_dynamics_tcn_k8_pastdelta,supervised,seq_tcn,1.7893962978648577,1,0.030425963488843813,0.00989010989010989,0.775,0.08333333333333333,0.9305555555555556,0.4444444444444444,0.372252040291155,0.006593406593406593,0.3194444444444444,0.002028397565922921,0.0,0.3888888888888889,0.0,0.0,0.06944444444444445,0.0
10,v2_024_tcn_k8_first_action_static,supervised,seq_tcn,1.778939957946043,1,0.02636916835699797,0.027472527472527472,0.7833333333333333,0.08333333333333333,0.9166666666666666,0.4583333333333333,0.3783213912524257,0.025274725274725275,0.3333333333333333,0.006085192697768763,0.0,0.4027777777777778,,,,
11,v2_029_tcn_k8_highdrop,supervised,seq_tcn,1.7781699594072817,1,0.028397565922920892,0.008791208791208791,0.8083333333333333,0.14166666666666666,0.9166666666666666,0.4444444444444444,0.3712494402149574,0.005494505494505495,0.2638888888888889,0.006085192697768763,0.0,0.3611111111111111,,,,
12,v2_025_tcn_k8_flat_action_static,supervised,seq_tcn,1.7715086299771898,1,0.030425963488843813,0.0032967032967032967,0.8166666666666667,0.13333333333333333,0.9305555555555556,0.4305555555555556,0.3940519079479449,0.001098901098901099,0.2916666666666667,0.002028397565922921,0.0,0.375,,,,
13,v2_038_groupdro_perturb_tcn_k8,supervised,seq_tcn,1.7668856048166395,1,0.034482758620689655,0.014285714285714285,0.7833333333333333,0.08333333333333333,0.9444444444444444,0.4305555555555556,0.40662126919733405,0.01098901098901099,0.2916666666666667,0.0,0.0,0.375,,,,
14,v2_004_tcn_k6_midshort,supervised,seq_tcn,1.7632668717354316,1,0.030425963488843813,0.008791208791208791,0.775,0.09166666666666666,0.9305555555555556,0.4305555555555556,0.40866480405852507,0.007692307692307693,0.3055555555555556,0.0,0.0,0.3055555555555556,,,,
15,v2_008_tcn_k24_long,supervised,seq_tcn,1.7629547486545456,1,0.032454361054766734,0.017582417582417582,0.75,0.05,0.9166666666666666,0.4444444444444444,0.38901328556500964,0.015384615384615385,0.2361111111111111,0.004056795131845842,0.0,0.2916666666666667,,,,
16,v2_039_groupdro_suitefam_tcn_k8,supervised,seq_tcn,1.7603502143562997,1,0.02636916835699797,0.012087912087912088,0.7666666666666667,0.08333333333333333,0.9305555555555556,0.4305555555555556,0.3958716270862436,0.008791208791208791,0.2916666666666667,0.002028397565922921,0.0,0.4166666666666667,,,,
17,v2_002_tcn_k2_short,supervised,seq_tcn,1.7514063804124655,1,0.02636916835699797,0.008791208791208791,0.8,0.1,0.9444444444444444,0.4166666666666667,0.39754781222833957,0.006593406593406593,0.25,0.002028397565922921,0.0,0.3888888888888889,,,,
18,v2_001_tcn_k1_baseline,supervised,seq_tcn,1.7451250968999448,1,0.02434077079107505,0.004395604395604396,0.8,0.11666666666666667,0.9305555555555556,0.4166666666666667,0.3962024851113888,0.001098901098901099,0.2916666666666667,0.0,0.0,0.2777777777777778,,,,
19,v2_021_tcn_k8_no_ace_history,supervised,seq_tcn,1.7430966993340218,1,0.028397565922920892,0.004395604395604396,0.7666666666666667,0.09166666666666666,0.9305555555555556,0.4166666666666667,0.3800823468862583,0.0,0.3055555555555556,0.002028397565922921,0.0,0.4166666666666667,,,,
20,v2_036_survival_tcn_k8_focal,supervised,seq_tcn,1.7417703774701745,1,0.032454361054766734,0.013186813186813187,0.8083333333333333,0.15,0.9166666666666666,0.4305555555555556,0.38321018062397366,0.01098901098901099,0.2916666666666667,0.006085192697768763,0.001098901098901099,0.4861111111111111,,,,
21,v2_027_tcn_k8_wide256,supervised,seq_tcn,1.7348549410922636,1,0.028397565922920892,0.00989010989010989,0.825,0.19166666666666668,0.9305555555555556,0.4166666666666667,0.3906514226895081,0.006593406593406593,0.25,0.002028397565922921,0.0,0.3472222222222222,,,,
22,v2_041_adv_perturb_tcn_k8,supervised,seq_tcn,1.724262755500078,1,0.028397565922920892,0.007692307692307693,0.8,0.075,0.9166666666666666,0.4166666666666667,0.3791797283176593,0.004395604395604396,0.2361111111111111,0.002028397565922921,0.0,0.4166666666666667,,,,
23,v2_010_lstm_k4_short,supervised,seq_lstm,1.7186156248529474,1,0.028397565922920892,0.002197802197802198,0.7416666666666667,0.075,0.9305555555555556,0.4027777777777778,0.39430924196750233,0.0,0.2777777777777778,0.0,0.0,0.25,,,,
24,v2_006_tcn_k12_mid,supervised,seq_tcn,1.7170351960412813,1,0.02636916835699797,0.013186813186813187,0.7583333333333333,0.08333333333333333,0.9166666666666666,0.4166666666666667,0.37867592177937,0.00989010989010989,0.2361111111111111,0.004056795131845842,0.0,0.4166666666666667,,,,
25,v2_013_lstm_k24_long,supervised,seq_lstm,1.7060629645315244,1,0.030425963488843813,0.00989010989010989,0.7666666666666667,0.10833333333333334,0.9305555555555556,0.4027777777777778,0.40103668847878826,0.006593406593406593,0.3055555555555556,0.002028397565922921,0.0,0.4444444444444444,,,,
