rank,name,mode,model,objective,best_epoch,success_test_seen_or_q95_K3_fa,success_test_ood_or_q95_K3_fa,failure_test_seen_or_q95_K3_det,failure_test_seen_or_q95_K3_det25,failure_eval_ood_or_q95_K3_det,failure_eval_ood_or_q95_K3_det25,failure_eval_ood_or_q95_K3_mean_time,success_test_ood_score_q95_K3_fa,failure_eval_ood_score_q95_K3_det25,success_test_seen_score_q99_K3_fa,success_test_ood_score_q99_K3_fa,failure_eval_ood_score_q99_K3_det,success_test_seen_hardstop_q99_K3_fa,success_test_ood_hardstop_q99_K3_fa,failure_eval_ood_hardstop_q99_K3_det,failure_eval_ood_hardstop_q99_K3_det25
1,v2_009_tcn_k32_verylong,supervised,seq_tcn,0.8924242424242425,1,0.015151515151515152,0.0,1.0,0.43478260869565216,0.9,0.0,0.6176994301994302,0.0,0.0,0.0,0.0,0.25,,,,
2,v2_008_tcn_k24_long,supervised,seq_tcn,0.8674242424242424,1,0.015151515151515152,0.0,0.9565217391304348,0.30434782608695654,0.875,0.0,0.6397435897435898,0.0,0.0,0.0,0.0,0.0,,,,
3,v2_035_survival_tcn_k16,supervised,seq_tcn,0.831060606060606,1,0.03787878787878788,0.0,0.7391304347826086,0.043478260869565216,0.85,0.0,0.6291478129713424,0.0,0.0,0.007575757575757576,0.0,0.0,,,,
4,v2_019_tcn_k8_no_current_proprio,supervised,seq_tcn,0.8174242424242425,1,0.015151515151515152,0.0,0.7391304347826086,0.08695652173913043,0.775,0.025,0.6265508684863523,0.0,0.025,0.015151515151515152,0.0,0.0,,,,
5,v2_041_adv_perturb_tcn_k8,supervised,seq_tcn,0.8174242424242424,1,0.015151515151515152,0.0,0.7391304347826086,0.0,0.825,0.0,0.6621989121989121,0.0,0.0,0.0,0.0,0.0,,,,
6,v2_042_dynamics_tcn_k8_pastdelta,supervised,seq_tcn,0.8174242424242424,1,0.015151515151515152,0.0,0.7391304347826086,0.0,0.825,0.0,0.6249028749028749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,v2_028_tcn_k8_lowdrop,supervised,seq_tcn,0.8136363636363636,1,0.022727272727272728,0.0,0.782608695652174,0.043478260869565216,0.825,0.0,0.638888888888889,0.0,0.0,0.0,0.0,0.0,,,,
8,v2_021_tcn_k8_no_ace_history,supervised,seq_tcn,0.7962121212121213,1,0.007575757575757576,0.0,0.7391304347826086,0.0,0.8,0.0,0.6372195512820513,0.0,0.0,0.0,0.0,0.0,,,,
9,v2_004_tcn_k6_midshort,supervised,seq_tcn,0.7924242424242425,1,0.015151515151515152,0.0,0.7391304347826086,0.0,0.8,0.0,0.6516426282051282,0.0,0.0,0.0,0.0,0.0,,,,
10,v2_038_groupdro_perturb_tcn_k8,supervised,seq_tcn,0.7924242424242425,1,0.015151515151515152,0.0,0.8260869565217391,0.0,0.8,0.0,0.6492387820512822,0.0,0.0,0.0,0.0,0.0,,,,
11,v2_040_adv_target_tcn_k8,supervised,seq_tcn,0.7924242424242425,1,0.015151515151515152,0.0,0.782608695652174,0.0,0.8,0.0,0.6540464743589745,0.0,0.0,0.007575757575757576,0.0,0.025,,,,
12,v2_011_lstm_k8_idea44,supervised,seq_lstm,0.7886363636363637,1,0.022727272727272728,0.0,0.8260869565217391,0.0,0.8,0.0,0.6516426282051282,0.0,0.0,0.0,0.0,0.0,,,,
