policy,family,success_seen_episodes,success_ood_episodes,failure_ood_episodes,success_seen_fa,success_ood_fa,failure_detection,failure_det_at_10,failure_det_at_25,failure_det_at_50,failure_mean_time,failure_never,objective
q95_consec_K1,baseline_consecutive,136,211,42,0.16176470588235295,0.26066350710900477,0.9761904761904762,0.0,0.2619047619047619,0.8809523809523809,0.33,0.023809523809523836,2.997363461972467
q95_consec_K2,baseline_consecutive,136,211,42,0.1323529411764706,0.24644549763033174,0.9285714285714286,0.0,0.21428571428571427,0.8571428571428571,0.34991452991453,0.0714285714285714,2.83034465797499
q95_consec_K3,baseline_consecutive,136,211,42,0.1323529411764706,0.23696682464454977,0.9285714285714286,0.0,0.21428571428571427,0.8333333333333334,0.3564102564102565,0.0714285714285714,2.8119637866083362
q95_consec_K5,baseline_consecutive,136,211,42,0.1323529411764706,0.21800947867298578,0.9047619047619048,0.0,0.14285714285714285,0.7857142857142857,0.36789473684210516,0.09523809523809523,2.6386740251101686
q95_consec_K10,baseline_consecutive,136,211,42,0.11029411764705882,0.1990521327014218,0.8333333333333334,0.0,0.11904761904761904,0.6428571428571429,0.39371428571428574,0.16666666666666663,2.28322906793049
q95_consec_K15,baseline_consecutive,136,211,42,0.10294117647058823,0.18009478672985782,0.8333333333333334,0.0,0.047619047619047616,0.6190476190476191,0.4185714285714285,0.16666666666666663,2.1899294741593316
q95_consec_K20,baseline_consecutive,136,211,42,0.08088235294117647,0.12322274881516587,0.8333333333333334,0.0,0.047619047619047616,0.5952380952380952,0.44019047619047613,0.16666666666666663,2.262554502369668
q95_consec_K30,baseline_consecutive,136,211,42,0.07352941176470588,0.037914691943127965,0.7142857142857143,0.0,0.0,0.40476190476190477,0.5362222222222222,0.2857142857142857,1.8258293462724742
q95_count_5,manual_count,136,211,42,0.1323529411764706,0.24170616113744076,0.9285714285714286,0.0,0.16666666666666666,0.8333333333333334,0.3580341880341879,0.0714285714285714,2.7425553211927625
q95_count_10,manual_count,136,211,42,0.125,0.22274881516587677,0.9285714285714286,0.0,0.11904761904761904,0.7142857142857143,0.41658119658119647,0.0714285714285714,2.5277380229039
q95_count_15,manual_count,136,211,42,0.125,0.2037914691943128,0.8809523809523809,0.0,0.11904761904761904,0.6666666666666666,0.4103603603603604,0.11904761904761907,2.4005412572355698
q95_count_20,manual_count,136,211,42,0.11764705882352941,0.14691943127962084,0.8809523809523809,0.0,0.047619047619047616,0.5952380952380952,0.43270270270270267,0.11904761904761907,2.3122711760507966
q95_count_30,manual_count,136,211,42,0.08088235294117647,0.07109004739336493,0.8571428571428571,0.0,0.0,0.5,0.5226851851851851,0.1428571428571429,2.1914343232026883
q95_count_40,manual_count,136,211,42,0.08088235294117647,0.023696682464454975,0.8333333333333334,0.0,0.0,0.42857142857142855,0.5598095238095239,0.16666666666666663,2.1221780636425187
q95_count_60,manual_count,136,211,42,0.07352941176470588,0.014218009478672985,0.7380952380952381,0.0,0.0,0.19047619047619047,0.6059139784946237,0.26190476190476186,1.58199024832376
q95_count_80,manual_count,136,211,42,0.058823529411764705,0.009478672985781991,0.6904761904761905,0.0,0.0,0.0,0.6624137931034483,0.30952380952380953,1.1963915867049548
q95_mass_1,manual_mass,136,211,42,0.1323529411764706,0.22274881516587677,0.9285714285714286,0.0,0.14285714285714285,0.7619047619047619,0.3998290598290598,0.0714285714285714,2.63311653328241
q95_mass_2,manual_mass,136,211,42,0.125,0.1943127962085308,0.9047619047619048,0.0,0.11904761904761904,0.6904761904761905,0.4102631578947368,0.09523809523809523,2.502856237156873
q95_mass_3,manual_mass,136,211,42,0.11029411764705882,0.1895734597156398,0.8809523809523809,0.0,0.09523809523809523,0.6666666666666666,0.40882882882882887,0.11904761904761907,2.399598254313894
q95_mass_5,manual_mass,136,211,42,0.09558823529411764,0.12796208530805686,0.8809523809523809,0.0,0.023809523809523808,0.5714285714285714,0.47423423423423416,0.11904761904761907,2.2743267946348515
q95_mass_8,manual_mass,136,211,42,0.08088235294117647,0.052132701421800945,0.7857142857142857,0.0,0.0,0.5,0.4916161616161615,0.2142857142857143,2.094259128180929
q95_mass_10,manual_mass,136,211,42,0.08088235294117647,0.02843601895734597,0.7857142857142857,0.0,0.0,0.5,0.5088888888888888,0.2142857142857143,2.137334311291657
q95_mass_15,manual_mass,136,211,42,0.0661764705882353,0.014218009478672985,0.7380952380952381,0.0,0.0,0.40476190476190477,0.5662365591397849,0.26190476190476186,1.9133381745910412
q95_mass_20,manual_mass,136,211,42,0.058823529411764705,0.009478672985781991,0.7142857142857143,0.0,0.0,0.23809523809523808,0.5996666666666666,0.2857142857142857,1.616840273076055
q95_mass_30,manual_mass,136,211,42,0.03676470588235294,0.009478672985781991,0.6428571428571429,0.0,0.0,0.047619047619047616,0.6548148148148148,0.3571428571428571,1.1744818074675896
q95_mass_40,manual_mass,136,211,42,0.029411764705882353,0.009478672985781991,0.5952380952380952,0.0,0.0,0.0,0.7214666666666667,0.40476190476190477,0.9911521778379598
q99_consec_K1,baseline_consecutive,136,211,42,0.058823529411764705,0.014218009478672985,0.6428571428571429,0.0,0.0,0.42857142857142855,0.47679012345679017,0.3571428571428571,1.780937878749885
