rank,name,mode,model,objective,best_epoch,success_test_seen_or_q95_K3_fa,success_test_ood_or_q95_K3_fa,failure_test_seen_or_q95_K3_det,failure_test_seen_or_q95_K3_det25,failure_eval_ood_or_q95_K3_det,failure_eval_ood_or_q95_K3_det25,failure_eval_ood_or_q95_K3_mean_time,success_test_ood_score_q95_K3_fa,failure_eval_ood_score_q95_K3_det25,success_test_seen_score_q99_K3_fa,success_test_ood_score_q99_K3_fa,failure_eval_ood_score_q99_K3_det,success_test_seen_hardstop_q99_K3_fa,success_test_ood_hardstop_q99_K3_fa,failure_eval_ood_hardstop_q99_K3_det,failure_eval_ood_hardstop_q99_K3_det25
1,v2_040_adv_target_tcn_k8,supervised,seq_tcn,1.5962527893562375,7,0.4482758620689655,0.4901098901098901,1.0,0.8583333333333333,1.0,0.7777777777777778,0.1723148148148148,0.3021978021978022,0.7638888888888888,0.04665314401622718,0.24725274725274726,0.9583333333333334,,,,
2,v2_010_lstm_k4_short,supervised,seq_lstm,1.5781888440610552,6,0.4462474645030426,0.512087912087912,1.0,0.8666666666666667,0.9861111111111112,0.7916666666666666,0.1690140845070422,0.34395604395604396,0.7638888888888888,0.05273833671399594,0.15604395604395604,0.8611111111111112,,,,
3,v2_022_tcn_k8_action_tokens_only,supervised,seq_tcn,1.5769906901752742,9,0.4665314401622718,0.5153846153846153,1.0,0.8916666666666667,1.0,0.7916666666666666,0.16652777777777777,0.34175824175824177,0.7777777777777778,0.038539553752535496,0.23956043956043957,0.8611111111111112,,,,
4,v2_011_lstm_k8_idea44,supervised,seq_lstm,1.4897066872726104,2,0.45233265720081134,0.4857142857142857,1.0,0.875,1.0,0.7222222222222222,0.19268518518518515,0.2956043956043956,0.7083333333333334,0.04259634888438134,0.056043956043956046,0.9027777777777778,,,,
5,v2_041_adv_perturb_tcn_k8,supervised,seq_tcn,1.4845075253797364,8,0.4462474645030426,0.4912087912087912,1.0,0.85,1.0,0.7222222222222222,0.18666666666666668,0.31868131868131866,0.625,0.034482758620689655,0.22967032967032966,0.8055555555555556,,,,
6,v2_044_transformer_k8_focal,supervised,seq_transformer,1.4788298697020803,19,0.4462474645030426,0.5505494505494506,1.0,0.9083333333333333,1.0,0.7638888888888888,0.17967592592592593,0.38461538461538464,0.75,0.04259634888438134,0.11758241758241758,0.8055555555555556,,,,
7,v2_017_transformer_medium_k8,supervised,seq_transformer,1.4671159356757735,3,0.4259634888438134,0.4725274725274725,1.0,0.825,1.0,0.6944444444444444,0.22300925925925924,0.2967032967032967,0.6805555555555556,0.0486815415821501,0.16593406593406593,0.8333333333333334,,,,
8,v2_014_gru_k8,supervised,seq_gru,1.466813719298506,9,0.4340770791075051,0.4978021978021978,0.9916666666666667,0.8833333333333333,0.9861111111111112,0.7222222222222222,0.16788732394366196,0.32967032967032966,0.6944444444444444,0.04665314401622718,0.1989010989010989,0.9166666666666666,,,,
9,v2_030_tcn_k8_focal,supervised,seq_tcn,1.4552172416269782,9,0.4421906693711968,0.512087912087912,1.0,0.8833333333333333,1.0,0.7222222222222222,0.18305555555555555,0.34395604395604396,0.7083333333333334,0.05070993914807302,0.22637362637362637,0.9166666666666666,,,,
10,v2_036_survival_tcn_k8_focal,supervised,seq_tcn,1.4541045949768057,22,0.4462474645030426,0.567032967032967,1.0,0.9,1.0,0.7638888888888888,0.16824074074074075,0.4208791208791209,0.75,0.032454361054766734,0.14395604395604394,0.9861111111111112,,,,
11,v2_003_tcn_k4_short,supervised,seq_tcn,1.445443164003002,7,0.4259634888438134,0.5054945054945055,1.0,0.8333333333333334,1.0,0.7083333333333334,0.19328703703703703,0.33076923076923076,0.6805555555555556,0.036511156186612576,0.15384615384615385,0.8472222222222222,,,,
12,v2_033_survival_tcn_k8,supervised,seq_tcn,1.4379637266047005,12,0.44421906693711966,0.5043956043956044,1.0,0.8916666666666667,1.0,0.7083333333333334,0.19513888888888886,0.33406593406593404,0.6944444444444444,0.038539553752535496,0.20549450549450549,0.9583333333333334,,,,
13,v2_028_tcn_k8_lowdrop,supervised,seq_tcn,1.4305301696275325,5,0.42190669371196754,0.489010989010989,1.0,0.825,0.9861111111111112,0.6944444444444444,0.1997183098591549,0.3087912087912088,0.6666666666666666,0.038539553752535496,0.13626373626373625,0.8333333333333334,,,,
14,v2_021_tcn_k8_no_ace_history,supervised,seq_tcn,1.4300921075768944,4,0.4340770791075051,0.4945054945054945,1.0,0.8333333333333334,1.0,0.6944444444444444,0.18203703703703702,0.3252747252747253,0.6805555555555556,0.04259634888438134,0.23186813186813188,0.9027777777777778,,,,
15,v2_007_tcn_k16_long,supervised,seq_tcn,1.4220846428757181,3,0.4279918864097363,0.46483516483516485,1.0,0.8333333333333334,0.9722222222222222,0.6805555555555556,0.21338095238095234,0.2714285714285714,0.6666666666666666,0.034482758620689655,0.11098901098901098,0.7222222222222222,,,,
16,v2_042_dynamics_tcn_k8_pastdelta,supervised,seq_tcn,1.4139985437145683,10,0.43610547667342797,0.5230769230769231,1.0,0.8833333333333333,1.0,0.7083333333333334,0.17708333333333334,0.3505494505494505,0.6944444444444444,0.04462474645030426,0.24835164835164836,0.9166666666666666,0.02028397565922921,0.22637362637362637,0.8194444444444444,0.3055555555555556
17,v2_039_groupdro_suitefam_tcn_k8,supervised,seq_tcn,1.4054950008296865,8,0.45030425963488846,0.5054945054945055,1.0,0.8833333333333333,1.0,0.6944444444444444,0.18527777777777776,0.3384615384615385,0.6805555555555556,0.038539553752535496,0.2175824175824176,0.9166666666666666,,,,
18,v2_034_survival_lstm_k8,supervised,seq_lstm,1.4016221608006598,4,0.44016227180527384,0.5021978021978022,1.0,0.8166666666666667,0.9861111111111112,0.6944444444444444,0.19582159624413142,0.33516483516483514,0.6805555555555556,0.05273833671399594,0.16153846153846155,0.9583333333333334,,,,
19,v2_013_lstm_k24_long,supervised,seq_lstm,1.3907057164156558,2,0.40973630831643004,0.5010989010989011,1.0,0.7916666666666666,0.9861111111111112,0.6805555555555556,0.20586854460093892,0.31648351648351647,0.6527777777777778,0.032454361054766734,0.1945054945054945,0.8194444444444444,,,,
20,v2_035_survival_tcn_k16,supervised,seq_tcn,1.3737764601861961,7,0.4421906693711968,0.49230769230769234,1.0,0.8333333333333334,1.0,0.6666666666666666,0.1946296296296296,0.3,0.6388888888888888,0.038539553752535496,0.15164835164835164,0.8472222222222222,,,,
21,v2_012_lstm_k16_long,supervised,seq_lstm,1.3662749803723435,2,0.42190669371196754,0.46703296703296704,1.0,0.825,0.9722222222222222,0.6527777777777778,0.21142857142857138,0.27692307692307694,0.625,0.038539553752535496,0.189010989010989,0.8333333333333334,,,,
22,v2_016_transformer_small_k8,supervised,seq_transformer,1.3585109109956979,5,0.4340770791075051,0.532967032967033,1.0,0.8416666666666667,0.9861111111111112,0.6944444444444444,0.18568075117370889,0.35604395604395606,0.6666666666666666,0.04259634888438134,0.13516483516483516,0.8472222222222222,,,,
23,v2_019_tcn_k8_no_current_proprio,supervised,seq_tcn,1.355010439188938,8,0.44016227180527384,0.5054945054945055,1.0,0.9,1.0,0.6666666666666666,0.19749999999999998,0.3362637362637363,0.6527777777777778,0.04462474645030426,0.22967032967032966,0.8888888888888888,,,,
24,v2_031_tcn_k8_pos2,supervised,seq_tcn,1.3550005324853192,6,0.4340770791075051,0.489010989010989,1.0,0.8666666666666667,1.0,0.6527777777777778,0.1962037037037037,0.3098901098901099,0.625,0.04056795131845842,0.21978021978021978,0.8472222222222222,,,,
25,v2_006_tcn_k12_mid,supervised,seq_tcn,1.3530400577560824,5,0.43610547667342797,0.4989010989010989,1.0,0.8333333333333334,0.9861111111111112,0.6666666666666666,0.17553990610328635,0.3274725274725275,0.6527777777777778,0.0486815415821501,0.2153846153846154,0.8472222222222222,,,,
26,v2_027_tcn_k8_wide256,supervised,seq_tcn,1.3496655249190745,2,0.43204868154158216,0.4747252747252747,1.0,0.7583333333333333,1.0,0.6388888888888888,0.21458333333333332,0.2978021978021978,0.6111111111111112,0.038539553752535496,0.21208791208791208,0.9027777777777778,,,,
27,v2_038_groupdro_perturb_tcn_k8,supervised,seq_tcn,1.3447982995143242,6,0.43610547667342797,0.5043956043956044,1.0,0.825,0.9861111111111112,0.6666666666666666,0.18286384976525819,0.33076923076923076,0.6388888888888888,0.034482758620689655,0.11868131868131868,0.7916666666666666,,,,
