dataset,method,threshold_style,window,label,n_seeds,success_false_alarm,failure_detection,det_at_10,det_at_25,det_at_50,mean_time,never
goal_object_ood_180,entropy,ct_quantile,15,seen-best entropy ct_quantile,5,0.050359712230215826,0.5121951219512195,0.0,0.0,0.2926829268292683,0.5257142857142856,0.4878048780487805
goal_object_ood_180,entropy,tvt_cp_band,50,seen-best entropy tvt_cp_band,5,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195
goal_object_ood_180,entropy,tvt_quantile,50,seen-best entropy tvt_quantile,5,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683
goal_object_ood_180,rnd_oe,ct_quantile,3,seen-best rnd_oe ct_quantile,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
goal_object_ood_180,rnd_oe,tvt_cp_band,11,seen-best rnd_oe tvt_cp_band,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
goal_object_ood_180,rnd_oe,tvt_quantile,1,seen-best rnd_oe tvt_quantile,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
goal_object_ood_180,rnd_oe_and_entropy,ct_quantile,1,seen-best fusion ct_quantile,5,0.0,0.2682926829268293,0.0,0.0,0.0975609756097561,0.5969696969696969,0.7317073170731707
goal_object_ood_180,rnd_oe_and_entropy,tvt_cp_band,11/50,seen-best fusion tvt_cp_band,5,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195
goal_object_ood_180,rnd_oe_and_entropy,tvt_quantile,1/50,seen-best fusion tvt_quantile,5,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683
goal_swap_100,entropy,ct_quantile,15,seen-best entropy ct_quantile,5,0.0,0.6701030927835051,0.0,0.09278350515463918,0.29896907216494845,0.5456410256410257,0.32989690721649484
goal_swap_100,entropy,tvt_cp_band,50,seen-best entropy tvt_cp_band,5,0.0,0.6391752577319587,0.0,0.0,0.0,0.806720430107527,0.36082474226804123
goal_swap_100,entropy,tvt_quantile,50,seen-best entropy tvt_quantile,5,0.0,0.7319587628865979,0.30927835051546393,0.43298969072164956,0.6185567010309279,0.2441314553990611,0.26804123711340205
goal_swap_100,rnd_oe,ct_quantile,3,seen-best rnd_oe ct_quantile,5,0.0,0.06391752577319587,0.04329896907216495,0.04329896907216495,0.04329896907216495,0.32555555555555554,0.9360824742268041
goal_swap_100,rnd_oe,tvt_cp_band,11,seen-best rnd_oe tvt_cp_band,5,0.0,0.36701030927835054,0.020618556701030927,0.0845360824742268,0.20618556701030927,0.4064337606837607,0.6329896907216495
goal_swap_100,rnd_oe,tvt_quantile,1,seen-best rnd_oe tvt_quantile,5,0.0,0.34845360824742266,0.0845360824742268,0.12577319587628863,0.32989690721649484,0.2691774025432562,0.6515463917525774
goal_swap_100,rnd_oe_and_entropy,ct_quantile,1,seen-best fusion ct_quantile,5,0.0,0.018556701030927835,0.0,0.0,0.004123711340206186,0.6660416666666666,0.9814432989690722
goal_swap_100,rnd_oe_and_entropy,tvt_cp_band,11/50,seen-best fusion tvt_cp_band,5,0.0,0.19793814432989693,0.0,0.0,0.0,0.7840285714285714,0.8020618556701031
goal_swap_100,rnd_oe_and_entropy,tvt_quantile,1/50,seen-best fusion tvt_quantile,5,0.0,0.21443298969072164,0.020618556701030927,0.024742268041237116,0.15257731958762885,0.44635706515706514,0.7855670103092784
goal_task_100,entropy,ct_quantile,15,seen-best entropy ct_quantile,5,0.0,0.4222222222222222,0.0,0.011111111111111112,0.044444444444444446,0.7219298245614036,0.5777777777777777
goal_task_100,entropy,tvt_cp_band,50,seen-best entropy tvt_cp_band,5,0.0,0.26666666666666666,0.0,0.0,0.0,0.8459722222222222,0.7333333333333333
goal_task_100,entropy,tvt_quantile,50,seen-best entropy tvt_quantile,5,0.7,0.22222222222222224,0.08888888888888889,0.08888888888888889,0.1222222222222222,0.35883333333333334,0.7777777777777778
goal_task_100,rnd_oe,ct_quantile,3,seen-best rnd_oe ct_quantile,5,0.02,0.06666666666666667,0.04444444444444444,0.04444444444444444,0.04444444444444444,0.32555555555555554,0.9333333333333332
goal_task_100,rnd_oe,tvt_cp_band,11,seen-best rnd_oe tvt_cp_band,5,0.0,0.3111111111111111,0.02222222222222222,0.06666666666666667,0.15555555555555553,0.45681944444444444,0.6888888888888889
goal_task_100,rnd_oe,tvt_quantile,1,seen-best rnd_oe tvt_quantile,5,0.22000000000000003,0.28888888888888886,0.06666666666666667,0.08888888888888888,0.26666666666666666,0.28755555555555556,0.711111111111111
goal_task_100,rnd_oe_and_entropy,ct_quantile,1,seen-best fusion ct_quantile,5,0.0,0.0044444444444444444,0.0,0.0,0.0,0.6766666666666667,0.9955555555555555
goal_task_100,rnd_oe_and_entropy,tvt_cp_band,11/50,seen-best fusion tvt_cp_band,5,0.0,0.06666666666666667,0.0,0.0,0.0,0.8307664141414141,0.9333333333333333
goal_task_100,rnd_oe_and_entropy,tvt_quantile,1/50,seen-best fusion tvt_quantile,5,0.13999999999999999,0.04666666666666667,0.0,0.0,0.0044444444444444444,0.5796428571428571,0.9533333333333334
libero10_object_100,entropy,ct_quantile,15,seen-best entropy ct_quantile,5,0.0,0.09090909090909091,0.0,0.0,0.012987012987012988,0.7666666666666666,0.909090909090909
libero10_object_100,entropy,tvt_cp_band,50,seen-best entropy tvt_cp_band,5,0.0,0.07792207792207792,0.0,0.0,0.0,0.9027777777777777,0.922077922077922
libero10_object_100,entropy,tvt_quantile,50,seen-best entropy tvt_quantile,5,0.0,0.1038961038961039,0.0,0.03896103896103896,0.07792207792207792,0.4066666666666666,0.8961038961038961
libero10_object_100,rnd_oe,ct_quantile,3,seen-best rnd_oe ct_quantile,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
libero10_object_100,rnd_oe,tvt_cp_band,11,seen-best rnd_oe tvt_cp_band,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
libero10_object_100,rnd_oe,tvt_quantile,1,seen-best rnd_oe tvt_quantile,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
libero10_object_100,rnd_oe_and_entropy,ct_quantile,1,seen-best fusion ct_quantile,5,0.0,0.025974025974025976,0.0,0.0,0.0,0.8066666666666666,0.974025974025974
libero10_object_100,rnd_oe_and_entropy,tvt_cp_band,11/50,seen-best fusion tvt_cp_band,5,0.0,0.07792207792207792,0.0,0.0,0.0,0.9027777777777777,0.922077922077922
libero10_object_100,rnd_oe_and_entropy,tvt_quantile,1/50,seen-best fusion tvt_quantile,5,0.0,0.1038961038961039,0.0,0.03896103896103896,0.07792207792207792,0.4066666666666666,0.8961038961038961
object_object_100,entropy,ct_quantile,15,seen-best entropy ct_quantile,5,0.015873015873015872,0.05405405405405406,0.0,0.0,0.0,0.6799999999999999,0.9459459459459459
object_object_100,entropy,tvt_cp_band,50,seen-best entropy tvt_cp_band,5,0.0,0.08108108108108109,0.0,0.0,0.0,0.8466666666666667,0.918918918918919
object_object_100,entropy,tvt_quantile,50,seen-best entropy tvt_quantile,5,0.031746031746031744,0.08108108108108109,0.0,0.05405405405405406,0.05405405405405406,0.43666666666666665,0.918918918918919
object_object_100,rnd_oe,ct_quantile,3,seen-best rnd_oe ct_quantile,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
object_object_100,rnd_oe,tvt_cp_band,11,seen-best rnd_oe tvt_cp_band,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
object_object_100,rnd_oe,tvt_quantile,1,seen-best rnd_oe tvt_quantile,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
object_object_100,rnd_oe_and_entropy,ct_quantile,1,seen-best fusion ct_quantile,5,0.0,0.0,0.0,0.0,0.0,nan,1.0
object_object_100,rnd_oe_and_entropy,tvt_cp_band,11/50,seen-best fusion tvt_cp_band,5,0.0,0.08108108108108109,0.0,0.0,0.0,0.8466666666666667,0.918918918918919
object_object_100,rnd_oe_and_entropy,tvt_quantile,1/50,seen-best fusion tvt_quantile,5,0.031746031746031744,0.08108108108108109,0.0,0.05405405405405406,0.05405405405405406,0.43666666666666665,0.918918918918919
spatial_object_100,entropy,ct_quantile,15,seen-best entropy ct_quantile,5,0.021505376344086023,0.8571428571428571,0.0,0.0,0.7142857142857143,0.45555555555555555,0.14285714285714285
spatial_object_100,entropy,tvt_cp_band,50,seen-best entropy tvt_cp_band,5,0.0,0.8571428571428571,0.0,0.0,0.0,0.7555555555555555,0.14285714285714285
spatial_object_100,entropy,tvt_quantile,50,seen-best entropy tvt_quantile,5,0.2150537634408602,1.0,0.0,0.5714285714285714,1.0,0.3085714285714286,0.0
spatial_object_100,rnd_oe,ct_quantile,3,seen-best rnd_oe ct_quantile,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
spatial_object_100,rnd_oe,tvt_cp_band,11,seen-best rnd_oe tvt_cp_band,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
spatial_object_100,rnd_oe,tvt_quantile,1,seen-best rnd_oe tvt_quantile,5,1.0,1.0,1.0,1.0,1.0,0.0,0.0
spatial_object_100,rnd_oe_and_entropy,ct_quantile,1,seen-best fusion ct_quantile,5,0.0,0.42857142857142855,0.0,0.0,0.14285714285714285,0.5777777777777778,0.5714285714285714
spatial_object_100,rnd_oe_and_entropy,tvt_cp_band,11/50,seen-best fusion tvt_cp_band,5,0.0,0.8571428571428571,0.0,0.0,0.0,0.7555555555555555,0.14285714285714285
spatial_object_100,rnd_oe_and_entropy,tvt_quantile,1/50,seen-best fusion tvt_quantile,5,0.2150537634408602,1.0,0.0,0.5714285714285714,1.0,0.3085714285714286,0.0
