seed,method,threshold_style,quantile,window,label,success_false_alarm,failure_detection,det_at_10,det_at_25,det_at_50,mean_time,never,dataset
0,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.050359712230215826,0.5121951219512195,0.0,0.0,0.2926829268292683,0.5257142857142856,0.4878048780487805,goal_object_ood_180
0,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
0,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
0,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
0,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
0,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
0,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.2682926829268293,0.0,0.0,0.0975609756097561,0.5969696969696969,0.7317073170731707,goal_object_ood_180
0,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
0,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
1,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.050359712230215826,0.5121951219512195,0.0,0.0,0.2926829268292683,0.5257142857142856,0.4878048780487805,goal_object_ood_180
1,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
1,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
1,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
1,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
1,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
1,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.2682926829268293,0.0,0.0,0.0975609756097561,0.5969696969696969,0.7317073170731707,goal_object_ood_180
1,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
1,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
2,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.050359712230215826,0.5121951219512195,0.0,0.0,0.2926829268292683,0.5257142857142856,0.4878048780487805,goal_object_ood_180
2,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
2,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
2,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
2,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
2,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
2,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.2682926829268293,0.0,0.0,0.0975609756097561,0.5969696969696969,0.7317073170731707,goal_object_ood_180
2,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
2,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
42,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.050359712230215826,0.5121951219512195,0.0,0.0,0.2926829268292683,0.5257142857142856,0.4878048780487805,goal_object_ood_180
42,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
42,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
42,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
42,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
42,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
42,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.2682926829268293,0.0,0.0,0.0975609756097561,0.5969696969696969,0.7317073170731707,goal_object_ood_180
42,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
42,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
43,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.050359712230215826,0.5121951219512195,0.0,0.0,0.2926829268292683,0.5257142857142856,0.4878048780487805,goal_object_ood_180
43,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
43,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
43,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
43,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
43,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,1.0,1.0,1.0,1.0,1.0,0.0,0.0,goal_object_ood_180
43,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.2682926829268293,0.0,0.0,0.0975609756097561,0.5969696969696969,0.7317073170731707,goal_object_ood_180
43,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.17985611510791366,0.7073170731707317,0.0975609756097561,0.24390243902439024,0.4878048780487805,0.36712643678160917,0.2926829268292683,goal_object_ood_180
43,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.4878048780487805,0.0,0.0,0.0,0.8013333333333333,0.5121951219512195,goal_object_ood_180
0,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.6701030927835051,0.0,0.09278350515463918,0.29896907216494845,0.5456410256410257,0.32989690721649484,goal_swap_100
0,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.0,0.7319587628865979,0.30927835051546393,0.4329896907216495,0.6185567010309279,0.24413145539906111,0.26804123711340205,goal_swap_100
0,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.6391752577319587,0.0,0.0,0.0,0.806720430107527,0.36082474226804123,goal_swap_100
0,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.1134020618556701,0.1134020618556701,0.1134020618556701,0.1134020618556701,0.006666666666666667,0.8865979381443299,goal_swap_100
0,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.0,0.1134020618556701,0.1134020618556701,0.1134020618556701,0.1134020618556701,0.0,0.8865979381443299,goal_swap_100
0,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.21649484536082475,0.0,0.1134020618556701,0.21649484536082475,0.32555555555555554,0.7835051546391752,goal_swap_100
0,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.08247422680412371,0.0,0.0,0.020618556701030927,0.72875,0.9175257731958762,goal_swap_100
0,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.0,0.1134020618556701,0.0,0.0,0.09278350515463918,0.45030303030303026,0.8865979381443299,goal_swap_100
0,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.15463917525773196,0.0,0.0,0.0,0.766888888888889,0.845360824742268,goal_swap_100
1,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.6701030927835051,0.0,0.09278350515463918,0.29896907216494845,0.5456410256410257,0.32989690721649484,goal_swap_100
1,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.0,0.7319587628865979,0.30927835051546393,0.4329896907216495,0.6185567010309279,0.24413145539906111,0.26804123711340205,goal_swap_100
1,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.6391752577319587,0.0,0.0,0.0,0.806720430107527,0.36082474226804123,goal_swap_100
1,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.10309278350515463,0.10309278350515463,0.10309278350515463,0.10309278350515463,0.006666666666666666,0.8969072164948454,goal_swap_100
1,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.0,0.4020618556701031,0.10309278350515463,0.10309278350515463,0.4020618556701031,0.33128205128205135,0.5979381443298969,goal_swap_100
1,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.4948453608247423,0.10309278350515463,0.10309278350515463,0.20618556701030927,0.5193055555555556,0.5051546391752577,goal_swap_100
1,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.010309278350515464,0.0,0.0,0.0,0.6033333333333334,0.9896907216494846,goal_swap_100
1,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.0,0.26804123711340205,0.0,0.0,0.1958762886597938,0.4806410256410256,0.7319587628865979,goal_swap_100
1,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.20618556701030927,0.0,0.0,0.0,0.7449999999999999,0.7938144329896907,goal_swap_100
2,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.6701030927835051,0.0,0.09278350515463918,0.29896907216494845,0.5456410256410257,0.32989690721649484,goal_swap_100
2,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.0,0.7319587628865979,0.30927835051546393,0.4329896907216495,0.6185567010309279,0.24413145539906111,0.26804123711340205,goal_swap_100
2,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.6391752577319587,0.0,0.0,0.0,0.806720430107527,0.36082474226804123,goal_swap_100
2,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_swap_100
2,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.0,0.4020618556701031,0.0,0.10309278350515463,0.30927835051546393,0.41777777777777775,0.5979381443298969,goal_swap_100
2,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.6185567010309279,0.0,0.0,0.10309278350515463,0.6238888888888888,0.38144329896907214,goal_swap_100
2,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_swap_100
2,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.0,0.15463917525773196,0.0,0.010309278350515464,0.07216494845360824,0.5104444444444445,0.845360824742268,goal_swap_100
2,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.36082474226804123,0.0,0.0,0.0,0.8268571428571427,0.6391752577319587,goal_swap_100
42,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.6701030927835051,0.0,0.09278350515463918,0.29896907216494845,0.5456410256410257,0.32989690721649484,goal_swap_100
42,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.0,0.7319587628865979,0.30927835051546393,0.4329896907216495,0.6185567010309279,0.24413145539906111,0.26804123711340205,goal_swap_100
42,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.6391752577319587,0.0,0.0,0.0,0.806720430107527,0.36082474226804123,goal_swap_100
42,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_swap_100
42,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.0,0.422680412371134,0.10309278350515463,0.20618556701030927,0.422680412371134,0.281869918699187,0.5773195876288659,goal_swap_100
42,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.10309278350515463,0.0,0.10309278350515463,0.10309278350515463,0.24333333333333332,0.8969072164948454,goal_swap_100
42,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_swap_100
42,rnd_oe_and_entropy,tvt_quantile,0.95,1/50,seen-best fusion tvt_quantile,0.0,0.28865979381443296,0.10309278350515463,0.10309278350515463,0.21649484536082475,0.33928571428571425,0.711340206185567,goal_swap_100
42,rnd_oe_and_entropy,tvt_cp_band,0.95,11/50,seen-best fusion tvt_cp_band,0.0,0.05154639175257732,0.0,0.0,0.0,0.776,0.9484536082474226,goal_swap_100
43,entropy,ct_quantile,0.95,15,seen-best entropy ct_quantile,0.0,0.6701030927835051,0.0,0.09278350515463918,0.29896907216494845,0.5456410256410257,0.32989690721649484,goal_swap_100
43,entropy,tvt_quantile,0.95,50,seen-best entropy tvt_quantile,0.0,0.7319587628865979,0.30927835051546393,0.4329896907216495,0.6185567010309279,0.24413145539906111,0.26804123711340205,goal_swap_100
43,entropy,tvt_cp_band,0.95,50,seen-best entropy tvt_cp_band,0.0,0.6391752577319587,0.0,0.0,0.0,0.806720430107527,0.36082474226804123,goal_swap_100
43,rnd_oe,ct_quantile,0.95,3,seen-best rnd_oe ct_quantile,0.0,0.10309278350515463,0.0,0.0,0.0,0.9633333333333333,0.8969072164948454,goal_swap_100
43,rnd_oe,tvt_quantile,0.95,1,seen-best rnd_oe tvt_quantile,0.0,0.4020618556701031,0.10309278350515463,0.10309278350515463,0.4020618556701031,0.31495726495726495,0.5979381443298969,goal_swap_100
43,rnd_oe,tvt_cp_band,0.95,11,seen-best rnd_oe tvt_cp_band,0.0,0.4020618556701031,0.0,0.10309278350515463,0.4020618556701031,0.32008547008546995,0.5979381443298969,goal_swap_100
43,rnd_oe_and_entropy,ct_quantile,0.95,1,seen-best fusion ct_quantile,0.0,0.0,0.0,0.0,0.0,nan,1.0,goal_swap_100
