Policy,Kind,Threshold,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Query_Time,Mean_Timestep_Time,Never,False_Alarms,Detected_Failures
any_row_fixed_0.3_online_gate,any_row,0.3,1.0,1.0,1.0,1.0,1.0,0.011209677419354839,0.00997214259760184,0.0,149,31
any_row_fixed_0.5,any_row,0.5,0.9798657718120806,1.0,1.0,1.0,1.0,0.01633064516129032,0.015099519560741249,0.0,146,31
any_row_q95,any_row,0.6155413389205933,0.9798657718120806,1.0,1.0,1.0,1.0,0.023225806451612898,0.022003310589850215,0.0,146,31
any_row_q99,any_row,0.9665935635566711,0.6778523489932886,1.0,0.5161290322580645,0.967741935483871,1.0,0.09971774193548384,0.09859098066131053,0.0,101,31
q95_mass_0.05,q95_mass,0.05,0.9731543624161074,1.0,1.0,1.0,1.0,0.025282258064516127,0.02406233598449675,0.0,145,31
q95_mass_0.1,q95_mass,0.1,0.9664429530201343,1.0,1.0,1.0,1.0,0.02592741935483871,0.024708304735758406,0.0,144,31
q95_mass_0.15,q95_mass,0.15,0.959731543624161,1.0,1.0,1.0,1.0,0.02669354838709678,0.025475392627881628,0.0,143,31
q95_mass_0.2,q95_mass,0.2,0.9463087248322147,1.0,1.0,1.0,1.0,0.028830645161290323,0.02761516411643587,0.0,141,31
q95_mass_0.3,q95_mass,0.3,0.9463087248322147,1.0,1.0,1.0,1.0,0.035685483870967746,0.03447858209859098,0.0,141,31
q95_mass_0.5,q95_mass,0.5,0.9328859060402684,1.0,1.0,1.0,1.0,0.037782258064516135,0.03657798054019137,0.0,139,31
q95_mass_0.75,q95_mass,0.75,0.9194630872483222,1.0,1.0,1.0,1.0,0.054919354838709675,0.053736525495579154,0.0,137,31
q95_mass_1,q95_mass,1.0,0.8993288590604027,1.0,0.967741935483871,1.0,1.0,0.06657258064516128,0.06540433606524285,0.0,134,31
q95_mass_1.5,q95_mass,1.5,0.8590604026845637,1.0,0.9032258064516129,1.0,1.0,0.07943548387096776,0.07828333804352212,0.0,128,31
q95_mass_2,q95_mass,2.0,0.8456375838926175,1.0,0.7419354838709677,1.0,1.0,0.08790322580645163,0.08676167790383138,0.0,126,31
