Policy,Kind,Param,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Time,Never,False_Alarms,Detected_Failures
any_row_0.1,any,0.1,1.0,1.0,1.0,1.0,1.0,0.0236036036036036,0.0,143,37
any_row_0.2,any,0.2,1.0,1.0,1.0,1.0,1.0,0.024684684684684682,0.0,143,37
any_row_0.3,any,0.3,1.0,1.0,0.918918918918919,1.0,1.0,0.039099099099099095,0.0,143,37
any_row_0.4,any,0.4,0.986013986013986,1.0,0.918918918918919,1.0,1.0,0.04558558558558559,0.0,141,37
any_row_0.5,any,0.5,0.9790209790209791,1.0,0.8648648648648649,1.0,1.0,0.05234234234234234,0.0,140,37
any_row_0.6155,any,0.6155413389205933,0.9790209790209791,1.0,0.7297297297297297,1.0,1.0,0.06873873873873874,0.0,140,37
any_row_0.7,any,0.7,0.958041958041958,1.0,0.5945945945945946,1.0,1.0,0.09009009009009009,0.0,137,37
any_row_0.8,any,0.8,0.9300699300699301,1.0,0.21621621621621623,0.6756756756756757,1.0,0.17333333333333337,0.0,133,37
any_row_0.9,any,0.9,0.8321678321678322,0.9459459459459459,0.05405405405405406,0.43243243243243246,0.918918918918919,0.2335238095238095,0.05405405405405406,119,35
any_row_0.9666,any,0.9665935635566711,0.6783216783216783,0.9459459459459459,0.02702702702702703,0.2702702702702703,0.918918918918919,0.2621904761904762,0.05405405405405406,97,35
q95_K2,k,2,0.958041958041958,1.0,0.6486486486486487,1.0,1.0,0.07891891891891895,0.0,137,37
q95_K3,k,3,0.951048951048951,1.0,0.6216216216216216,1.0,1.0,0.08297297297297299,0.0,136,37
q95_K5,k,5,0.8881118881118881,0.972972972972973,0.5945945945945946,0.972972972972973,0.972972972972973,0.0864814814814815,0.027027027027026973,127,36
q95_K8,k,8,0.8461538461538461,0.9459459459459459,0.40540540540540543,0.8648648648648649,0.9459459459459459,0.1336190476190476,0.05405405405405406,121,35
q95_K10,k,10,0.7692307692307693,0.9459459459459459,0.2702702702702703,0.8378378378378378,0.9459459459459459,0.1657142857142857,0.05405405405405406,110,35
q95_K15,k,15,0.6083916083916084,0.918918918918919,0.1891891891891892,0.7837837837837838,0.918918918918919,0.18450980392156863,0.08108108108108103,87,34
q95_K20,k,20,0.46153846153846156,0.918918918918919,0.10810810810810811,0.5945945945945946,0.918918918918919,0.23049019607843138,0.08108108108108103,66,34
q99_K2,k,2,0.6363636363636364,0.918918918918919,0.02702702702702703,0.24324324324324326,0.8648648648648649,0.2859803921568628,0.08108108108108103,91,34
q99_K3,k,3,0.6013986013986014,0.8918918918918919,0.02702702702702703,0.21621621621621623,0.8648648648648649,0.2723232323232323,0.10810810810810811,86,33
q99_K5,k,5,0.5524475524475524,0.8918918918918919,0.02702702702702703,0.1891891891891892,0.8648648648648649,0.28191919191919196,0.10810810810810811,79,33
q99_K8,k,8,0.4755244755244755,0.8918918918918919,0.02702702702702703,0.1891891891891892,0.8648648648648649,0.282929292929293,0.10810810810810811,68,33
q99_K10,k,10,0.40559440559440557,0.8918918918918919,0.02702702702702703,0.1891891891891892,0.8648648648648649,0.2843434343434344,0.10810810810810811,58,33
q99_K15,k,15,0.32867132867132864,0.8918918918918919,0.02702702702702703,0.16216216216216217,0.8648648648648649,0.2970707070707071,0.10810810810810811,47,33
q99_K20,k,20,0.24475524475524477,0.8648648648648649,0.02702702702702703,0.10810810810810811,0.8648648648648649,0.28979166666666667,0.1351351351351351,35,32
fixed_0.3_K2,k,2,0.9790209790209791,1.0,0.918918918918919,1.0,1.0,0.04162162162162162,0.0,140,37
fixed_0.3_K3,k,3,0.9790209790209791,1.0,0.918918918918919,1.0,1.0,0.04225225225225226,0.0,140,37
fixed_0.3_K5,k,5,0.965034965034965,1.0,0.918918918918919,1.0,1.0,0.043153153153153156,0.0,138,37
fixed_0.3_K8,k,8,0.9370629370629371,1.0,0.918918918918919,1.0,1.0,0.043153153153153156,0.0,134,37
fixed_0.3_K10,k,10,0.8951048951048951,1.0,0.918918918918919,1.0,1.0,0.043153153153153156,0.0,128,37
