Policy,Row_Threshold,Mass_Threshold,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Time,Never,False_Alarms,Detected_Failures
q99_seen_success_FA010,0.9665935635566711,0.05595230042934417,0.5771812080536913,1.0,0.22580645161290322,0.9032258064516129,0.967741935483871,0.14720012919375025,0.0,86,31
q99_seen_supervised_FAle25,0.9665935635566711,0.0028517913818359377,0.6644295302013423,1.0,0.4838709677419355,0.9354838709677419,1.0,0.10610036739472728,0.0,99,31
q99_seen_supervised_FAle20,0.9665935635566711,0.0028517913818359377,0.6644295302013423,1.0,0.4838709677419355,0.9354838709677419,1.0,0.10610036739472728,0.0,99,31
q99_seen_supervised_FAle15,0.9665935635566711,0.0028517913818359377,0.6644295302013423,1.0,0.4838709677419355,0.9354838709677419,1.0,0.10610036739472728,0.0,99,31
q99_seen_supervised_FAle10,0.9665935635566711,0.0028517913818359377,0.6644295302013423,1.0,0.4838709677419355,0.9354838709677419,1.0,0.10610036739472728,0.0,99,31
q99_seen_supervised_FAle05,0.9665935635566711,0.0028517913818359377,0.6644295302013423,1.0,0.4838709677419355,0.9354838709677419,1.0,0.10610036739472728,0.0,99,31
q97_seen_success_FA010,0.7686229944229126,1.4547915762662882,0.6845637583892618,1.0,0.3225806451612903,0.967741935483871,0.967741935483871,0.1280229318906698,0.0,102,31
q95_seen_success_FA010,0.6155413389205933,3.2194243794679633,0.7785234899328859,1.0,0.3548387096774194,0.967741935483871,0.967741935483871,0.12309742016229965,0.0,116,31
fixed_0.5_seen_success_FA010,0.5,4.92656455039978,0.785234899328859,1.0,0.6451612903225806,0.967741935483871,0.967741935483871,0.11397311155072873,0.0,117,31
q97_seen_success_FA025,0.7686229944229126,0.41658013164997065,0.8456375838926175,1.0,0.6774193548387096,1.0,1.0,0.08966853728450887,0.0,126,31
q95_seen_success_FA025,0.6155413389205933,1.2978911891579623,0.8657718120805369,1.0,0.9032258064516129,1.0,1.0,0.07238887318825951,0.0,129,31
