Policy,Row_Threshold,Mass_Threshold,Success_FA,Failure_Det,Det@10,Det@25,Det@50,Mean_Time,Never,False_Alarms,Detected_Failures
q99_seen_success_FA010,0.9665935635566711,0.05595230042934417,0.5734265734265734,0.8918918918918919,0.02702702702702703,0.16216216216216217,0.8648648648648649,0.2869159825681564,0.10810810810810811,82,33
q99_seen_supervised_FAle25,0.9665935635566711,0.0028517913818359377,0.6643356643356644,0.9459459459459459,0.02702702702702703,0.2702702702702703,0.8918918918918919,0.2774964166268514,0.05405405405405406,95,35
q99_seen_supervised_FAle20,0.9665935635566711,0.0028517913818359377,0.6643356643356644,0.9459459459459459,0.02702702702702703,0.2702702702702703,0.8918918918918919,0.2774964166268514,0.05405405405405406,95,35
q99_seen_supervised_FAle15,0.9665935635566711,0.0028517913818359377,0.6643356643356644,0.9459459459459459,0.02702702702702703,0.2702702702702703,0.8918918918918919,0.2774964166268514,0.05405405405405406,95,35
q99_seen_supervised_FAle10,0.9665935635566711,0.0028517913818359377,0.6643356643356644,0.9459459459459459,0.02702702702702703,0.2702702702702703,0.8918918918918919,0.2774964166268514,0.05405405405405406,95,35
q99_seen_supervised_FAle05,0.9665935635566711,0.0028517913818359377,0.6643356643356644,0.9459459459459459,0.02702702702702703,0.2702702702702703,0.8918918918918919,0.2774964166268514,0.05405405405405406,95,35
q97_seen_success_FA010,0.7686229944229126,1.4547915762662882,0.6783216783216783,0.918918918918919,0.02702702702702703,0.1891891891891892,0.8918918918918919,0.26372221129254375,0.08108108108108103,97,34
q95_seen_success_FA010,0.6155413389205933,3.2194243794679633,0.7762237762237763,0.918918918918919,0.02702702702702703,0.2702702702702703,0.8918918918918919,0.24749163879598665,0.08108108108108103,111,34
fixed_0.5_seen_success_FA010,0.5,4.92656455039978,0.7832167832167832,0.918918918918919,0.02702702702702703,0.4594594594594595,0.918918918918919,0.2247688373008066,0.08108108108108103,112,34
q97_seen_success_FA025,0.7686229944229126,0.41658013164997065,0.8461538461538461,0.9459459459459459,0.05405405405405406,0.40540540540540543,0.918918918918919,0.23277591973244144,0.05405405405405406,121,35
q95_seen_supervised_FAle25,0.6155413389205933,0.7009972016016714,0.916083916083916,1.0,0.2972972972972973,0.8918918918918919,1.0,0.1419144897405767,0.0,131,37
q95_seen_supervised_FAle20,0.6155413389205933,0.7009972016016714,0.916083916083916,1.0,0.2972972972972973,0.8918918918918919,1.0,0.1419144897405767,0.0,131,37
q95_seen_supervised_FAle15,0.6155413389205933,0.7009972016016714,0.916083916083916,1.0,0.2972972972972973,0.8918918918918919,1.0,0.1419144897405767,0.0,131,37
q95_seen_supervised_FAle10,0.6155413389205933,0.7009972016016714,0.916083916083916,1.0,0.2972972972972973,0.8918918918918919,1.0,0.1419144897405767,0.0,131,37
q95_seen_supervised_FAle05,0.6155413389205933,0.7009972016016714,0.916083916083916,1.0,0.2972972972972973,0.8918918918918919,1.0,0.1419144897405767,0.0,131,37
q95_seen_success_FA025,0.6155413389205933,1.2978911891579623,0.8671328671328671,0.9459459459459459,0.16216216216216217,0.5675675675675675,0.9459459459459459,0.18987099856665074,0.05405405405405406,124,35
q97_seen_success_FA050,0.7686229944229126,0.030752652883529446,0.9300699300699301,1.0,0.21621621621621623,0.7297297297297297,1.0,0.16966464792551747,0.0,133,37
fixed_0.5_seen_supervised_FAle25,0.5,1.1322565438350054,0.9300699300699301,1.0,0.5135135135135135,0.972972972972973,1.0,0.0950013558709211,0.0,133,37
fixed_0.5_seen_supervised_FAle20,0.5,1.1322565438350054,0.9300699300699301,1.0,0.5135135135135135,0.972972972972973,1.0,0.0950013558709211,0.0,133,37
fixed_0.5_seen_supervised_FAle15,0.5,1.1322565438350054,0.9300699300699301,1.0,0.5135135135135135,0.972972972972973,1.0,0.0950013558709211,0.0,133,37
fixed_0.5_seen_supervised_FAle10,0.5,1.1322565438350054,0.9300699300699301,1.0,0.5135135135135135,0.972972972972973,1.0,0.0950013558709211,0.0,133,37
fixed_0.5_seen_supervised_FAle05,0.5,1.1322565438350054,0.9300699300699301,1.0,0.5135135135135135,0.972972972972973,1.0,0.0950013558709211,0.0,133,37
fixed_0.5_seen_success_FA025,0.5,2.258613994717596,0.8881118881118881,0.9459459459459459,0.32432432432432434,0.8648648648648649,0.9459459459459459,0.13540372670807452,0.05405405405405406,127,35
q95_seen_success_FA050,0.6155413389205933,0.24671691954135888,0.9440559440559441,1.0,0.5135135135135135,1.0,1.0,0.0923800054234837,0.0,135,37
fixed_0.5_seen_success_FA050,0.5,0.7294259876012796,0.9440559440559441,1.0,0.5675675675675675,1.0,1.0,0.08361204013377926,0.0,135,37
q97_seen_supervised_FAle25,0.7686229944229126,0.17508124510447354,0.8951048951048951,0.9459459459459459,0.05405405405405406,0.4864864864864865,0.918918918918919,0.22293358815097944,0.05405405405405406,128,35
q97_seen_supervised_FAle20,0.7686229944229126,0.17508124510447354,0.8951048951048951,0.9459459459459459,0.05405405405405406,0.4864864864864865,0.918918918918919,0.22293358815097944,0.05405405405405406,128,35
