Method,Policy,Threshold,Success FA,Failure Det,Det@10,Det@25,Det@50,Mean Time,Never
entropy,any_1,1.0,100.0,100.0,100.0,100.0,100.0,0.03649193548387096,0.0
entropy,any_1.25,1.25,100.0,100.0,100.0,100.0,100.0,0.04661290322580645,0.0
entropy,any_1.5,1.5,100.0,100.0,93.54838709677418,100.0,100.0,0.060806451612903226,0.0
entropy,any_2,2.0,85.90604026845638,100.0,70.96774193548387,96.7741935483871,96.7741935483871,0.12370967741935483,0.0
entropy,any_3,3.0,0.0,3.225806451612903,0.0,0.0,0.0,0.64125,96.7741935483871
entropy,any_5,5.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_10,10.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_20,20.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_50,50.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_100,100.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,mass_above_1_0.15,0.15,100.0,100.0,100.0,100.0,100.0,0.041209677419354836,0.0
entropy,mass_above_1_0.5,0.5,100.0,100.0,100.0,100.0,100.0,0.04487903225806451,0.0
entropy,mass_above_1_1,1.0,100.0,100.0,100.0,100.0,100.0,0.047258064516129024,0.0
entropy,mass_above_1_2,2.0,100.0,100.0,100.0,100.0,100.0,0.050766129032258064,0.0
entropy,mass_above_1_5,5.0,100.0,100.0,96.7741935483871,100.0,100.0,0.05903225806451612,0.0
entropy,mass_above_1_10,10.0,100.0,100.0,93.54838709677418,100.0,100.0,0.0697983870967742,0.0
entropy,mass_above_1_20,20.0,100.0,100.0,74.19354838709677,100.0,100.0,0.08745967741935483,0.0
entropy,mass_above_1_50,50.0,63.08724832214765,100.0,9.67741935483871,100.0,100.0,0.12266129032258062,0.0
entropy,mass_above_1_100,100.0,20.13422818791946,100.0,0.0,96.7741935483871,100.0,0.1677016129032258,0.0
entropy,mass_above_1_200,200.0,4.026845637583892,100.0,0.0,70.96774193548387,100.0,0.24653225806451612,0.0
rnd_oe,any_1,1.0,100.0,100.0,100.0,100.0,100.0,0.0012500000000000002,0.0
rnd_oe,any_1.25,1.25,100.0,100.0,100.0,100.0,100.0,0.0012500000000000002,0.0
rnd_oe,any_1.5,1.5,100.0,100.0,100.0,100.0,100.0,0.009516129032258064,0.0
rnd_oe,any_2,2.0,100.0,100.0,100.0,100.0,100.0,0.032499999999999994,0.0
rnd_oe,any_3,3.0,100.0,100.0,100.0,100.0,100.0,0.040201612903225804,0.0
rnd_oe,any_5,5.0,5.369127516778524,6.451612903225806,6.451612903225806,6.451612903225806,6.451612903225806,0.812,93.5483870967742
rnd_oe,any_10,10.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe,any_20,20.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe,any_50,50.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe,any_100,100.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe,mass_above_1_0.15,0.15,100.0,100.0,100.0,100.0,100.0,0.0012500000000000002,0.0
rnd_oe,mass_above_1_0.5,0.5,100.0,100.0,100.0,100.0,100.0,0.0015806451612903228,0.0
rnd_oe,mass_above_1_1,1.0,100.0,100.0,100.0,100.0,100.0,0.003064516129032259,0.0
rnd_oe,mass_above_1_2,2.0,100.0,100.0,100.0,100.0,100.0,0.008266129032258065,0.0
rnd_oe,mass_above_1_5,5.0,100.0,100.0,100.0,100.0,100.0,0.026225806451612897,0.0
rnd_oe,mass_above_1_10,10.0,100.0,100.0,100.0,100.0,100.0,0.035080645161290315,0.0
rnd_oe,mass_above_1_20,20.0,100.0,100.0,100.0,100.0,100.0,0.0415725806451613,0.0
rnd_oe,mass_above_1_50,50.0,100.0,100.0,100.0,100.0,100.0,0.05557258064516128,0.0
rnd_oe,mass_above_1_100,100.0,100.0,100.0,100.0,100.0,100.0,0.0733548387096774,0.0
rnd_oe,mass_above_1_200,200.0,85.63758389261744,100.0,6.451612903225806,100.0,100.0,0.10886290322580643,0.0
rnd_oe_and_entropy,any_1,1.0,100.0,100.0,96.7741935483871,100.0,100.0,0.05088709677419354,0.0
rnd_oe_and_entropy,any_1.25,1.25,98.65771812080537,100.0,77.41935483870968,96.7741935483871,96.7741935483871,0.1101209677419355,0.0
rnd_oe_and_entropy,any_1.5,1.5,53.02013422818792,100.0,51.61290322580645,90.32258064516128,96.7741935483871,0.1523790322580645,0.0
rnd_oe_and_entropy,any_2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe_and_entropy,any_3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe_and_entropy,any_5,5.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe_and_entropy,any_10,10.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe_and_entropy,any_20,20.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe_and_entropy,any_50,50.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe_and_entropy,any_100,100.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe_and_entropy,mass_above_1_0.15,0.15,100.0,100.0,93.54838709677418,100.0,100.0,0.06169354838709677,0.0
rnd_oe_and_entropy,mass_above_1_0.5,0.5,100.0,100.0,93.54838709677418,100.0,100.0,0.06629032258064517,0.0
rnd_oe_and_entropy,mass_above_1_1,1.0,100.0,100.0,90.32258064516128,100.0,100.0,0.0720161290322581,0.0
rnd_oe_and_entropy,mass_above_1_2,2.0,100.0,100.0,87.09677419354837,100.0,100.0,0.0807258064516129,0.0
rnd_oe_and_entropy,mass_above_1_5,5.0,91.94630872483222,100.0,74.19354838709677,96.7741935483871,100.0,0.10411290322580644,0.0
rnd_oe_and_entropy,mass_above_1_10,10.0,73.8255033557047,100.0,29.03225806451613,96.7741935483871,100.0,0.12435483870967742,0.0
rnd_oe_and_entropy,mass_above_1_20,20.0,31.543624161073826,100.0,3.225806451612903,96.7741935483871,96.7741935483871,0.15245967741935484,0.0
rnd_oe_and_entropy,mass_above_1_50,50.0,6.0402684563758395,100.0,0.0,80.64516129032258,96.7741935483871,0.22064516129032263,0.0
rnd_oe_and_entropy,mass_above_1_100,100.0,2.684563758389262,96.7741935483871,0.0,38.70967741935484,96.7741935483871,0.28783333333333333,3.2258064516129004
rnd_oe_and_entropy,mass_above_1_200,200.0,2.013422818791946,96.7741935483871,0.0,0.0,70.96774193548387,0.4692083333333333,3.2258064516129004
