Method,Policy,Threshold,Success FA,Failure Det,Det@10,Det@25,Det@50,Mean Time,Never
entropy,any_1,1.0,100.0,100.0,81.08108108108108,100.0,100.0,0.09684684684684686,0.0
entropy,any_1.25,1.25,100.0,100.0,37.83783783783784,100.0,100.0,0.12612612612612617,0.0
entropy,any_1.5,1.5,100.0,100.0,16.216216216216218,91.8918918918919,100.0,0.15963963963963967,0.0
entropy,any_2,2.0,85.3146853146853,91.8918918918919,0.0,56.75675675675676,91.8918918918919,0.2633333333333333,8.108108108108103
entropy,any_3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_5,5.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_10,10.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_20,20.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_50,50.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,any_100,100.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
entropy,mass_above_1_0.15,0.15,100.0,100.0,72.97297297297297,100.0,100.0,0.10801801801801802,0.0
entropy,mass_above_1_0.5,0.5,100.0,100.0,45.94594594594595,100.0,100.0,0.11999999999999997,0.0
entropy,mass_above_1_1,1.0,100.0,100.0,37.83783783783784,100.0,100.0,0.12684684684684688,0.0
entropy,mass_above_1_2,2.0,100.0,100.0,18.91891891891892,97.2972972972973,100.0,0.13702702702702704,0.0
entropy,mass_above_1_5,5.0,100.0,100.0,0.0,91.8918918918919,100.0,0.1581981981981982,0.0
entropy,mass_above_1_10,10.0,100.0,100.0,0.0,86.48648648648648,100.0,0.18675675675675676,0.0
entropy,mass_above_1_20,20.0,100.0,100.0,0.0,72.97297297297297,100.0,0.2333333333333333,0.0
entropy,mass_above_1_50,50.0,61.53846153846154,100.0,0.0,8.108108108108109,100.0,0.328018018018018,0.0
entropy,mass_above_1_100,100.0,16.783216783216783,100.0,0.0,0.0,78.37837837837837,0.45297297297297306,0.0
entropy,mass_above_1_200,200.0,0.0,91.8918918918919,0.0,0.0,0.0,0.6377450980392155,8.108108108108103
rnd_oe,any_1,1.0,100.0,100.0,100.0,100.0,100.0,0.0033333333333333327,0.0
rnd_oe,any_1.25,1.25,100.0,100.0,100.0,100.0,100.0,0.0033333333333333327,0.0
rnd_oe,any_1.5,1.5,100.0,100.0,100.0,100.0,100.0,0.025405405405405413,0.0
rnd_oe,any_2,2.0,100.0,100.0,100.0,100.0,100.0,0.0866666666666667,0.0
rnd_oe,any_3,3.0,100.0,100.0,14.594594594594595,100.0,100.0,0.10715315315315317,0.0
rnd_oe,any_5,5.0,5.174825174825175,7.027027027027027,0.0,7.027027027027027,7.027027027027027,0.8320000000000001,92.97297297297298
rnd_oe,any_10,10.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe,any_20,20.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe,any_50,50.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe,any_100,100.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe,mass_above_1_0.15,0.15,100.0,100.0,100.0,100.0,100.0,0.0033333333333333327,0.0
rnd_oe,mass_above_1_0.5,0.5,100.0,100.0,100.0,100.0,100.0,0.004216216216216216,0.0
rnd_oe,mass_above_1_1,1.0,100.0,100.0,100.0,100.0,100.0,0.008198198198198198,0.0
rnd_oe,mass_above_1_2,2.0,100.0,100.0,100.0,100.0,100.0,0.022036036036036037,0.0
rnd_oe,mass_above_1_5,5.0,100.0,100.0,100.0,100.0,100.0,0.06978378378378379,0.0
rnd_oe,mass_above_1_10,10.0,100.0,100.0,100.0,100.0,100.0,0.09347747747747748,0.0
rnd_oe,mass_above_1_20,20.0,100.0,100.0,0.0,100.0,100.0,0.11082882882882883,0.0
rnd_oe,mass_above_1_50,50.0,100.0,100.0,0.0,100.0,100.0,0.14812612612612613,0.0
rnd_oe,mass_above_1_100,100.0,100.0,100.0,0.0,100.0,100.0,0.19556756756756755,0.0
rnd_oe,mass_above_1_200,200.0,85.03496503496504,100.0,0.0,0.0,100.0,0.2901081081081081,0.0
rnd_oe_and_entropy,any_1,1.0,100.0,100.0,27.027027027027028,97.2972972972973,100.0,0.13675675675675678,0.0
rnd_oe_and_entropy,any_1.25,1.25,98.6013986013986,94.5945945945946,0.0,72.97297297297297,91.8918918918919,0.24838095238095237,5.405405405405405
rnd_oe_and_entropy,any_1.5,1.5,51.048951048951054,91.8918918918919,0.0,21.62162162162162,78.37837837837837,0.3235294117647059,8.108108108108103
rnd_oe_and_entropy,any_2,2.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
rnd_oe_and_entropy,any_3,3.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
