# HARD1000 Round 2 Visual Audit Clip Index
# Format: [Index] [Group] [Source ID] [Global ID] [Outcome] [Min Dist] [Instruction]

001 | failure | src=2661 | r002_s002661 | FAILURE_OR_TIMEOUT | min_dist=0.0175m | "reach the plate"
002 | failure | src= 101 | r002_s000101 | FAILURE_OR_TIMEOUT | min_dist=0.0190m | "reach the plate"
003 | failure | src= 168 | r002_s000168 | FAILURE_OR_TIMEOUT | min_dist=0.0196m | "reach the avocado"
004 | failure | src=1251 | r002_s001251 | FAILURE_OR_TIMEOUT | min_dist=0.0204m | "reach the onion"
005 | failure | src=2065 | r002_s002065 | FAILURE_OR_TIMEOUT | min_dist=0.0204m | "reach the potato"
006 | failure | src=1407 | r002_s001407 | FAILURE_OR_TIMEOUT | min_dist=0.0207m | "reach the lemon"
007 | failure | src=1454 | r002_s001454 | FAILURE_OR_TIMEOUT | min_dist=0.0208m | "reach the beer"
008 | failure | src=1900 | r002_s001900 | FAILURE_OR_TIMEOUT | min_dist=0.0211m | "reach the avocado"
009 | failure | src=2251 | r002_s002251 | FAILURE_OR_TIMEOUT | min_dist=0.0212m | "reach the can"
010 | failure | src=2666 | r002_s002666 | FAILURE_OR_TIMEOUT | min_dist=0.0216m | "reach the lemon"
011 | failure | src=1406 | r002_s001406 | FAILURE_OR_TIMEOUT | min_dist=0.0216m | "reach the basket"
012 | failure | src=2059 | r002_s002059 | FAILURE_OR_TIMEOUT | min_dist=0.0219m | "reach the apple"
013 | failure | src= 695 | r002_s000695 | FAILURE_OR_TIMEOUT | min_dist=0.0220m | "reach the beer"
014 | failure | src=2973 | r002_s002973 | FAILURE_OR_TIMEOUT | min_dist=0.0222m | "reach the potato"
015 | failure | src=1203 | r002_s001203 | FAILURE_OR_TIMEOUT | min_dist=0.0224m | "reach the kiwi"
016 | failure | src=3441 | r002_s003441 | FAILURE_OR_TIMEOUT | min_dist=0.0227m | "reach the kiwi"
017 | failure | src=1306 | r002_s001306 | FAILURE_OR_TIMEOUT | min_dist=0.0228m | "reach the apple"
018 | failure | src=1355 | r002_s001355 | FAILURE_OR_TIMEOUT | min_dist=0.0231m | "reach the plate"
019 | failure | src=2280 | r002_s002280 | FAILURE_OR_TIMEOUT | min_dist=0.0238m | "reach the peach"
020 | failure | src= 610 | r002_s000610 | FAILURE_OR_TIMEOUT | min_dist=0.0243m | "reach the onion"
021 | success | src=1395 | r002_s001395 | SUCCESS            | min_dist=0.0196m | "reach the avocado"
022 | success | src=1982 | r002_s001982 | SUCCESS            | min_dist=0.0195m | "reach the peach"
023 | success | src= 133 | r002_s000133 | SUCCESS            | min_dist=0.0191m | "reach the avocado"
024 | success | src=1642 | r002_s001642 | SUCCESS            | min_dist=0.0190m | "reach the plate"
025 | success | src=3730 | r002_s003730 | SUCCESS            | min_dist=0.0189m | "reach the tray"
026 | success | src=3565 | r002_s003565 | SUCCESS            | min_dist=0.0187m | "reach the plate"
027 | success | src=3707 | r002_s003707 | SUCCESS            | min_dist=0.0186m | "reach the plate"
028 | success | src=1340 | r002_s001340 | SUCCESS            | min_dist=0.0184m | "reach the peach"
029 | success | src=3659 | r002_s003659 | SUCCESS            | min_dist=0.0184m | "reach the bottle"
030 | success | src=2097 | r002_s002097 | SUCCESS            | min_dist=0.0182m | "reach the peach"
