Rule,alpha,tau,Succ FA n,Succ FA %,Fail Det n,Fail Det %,Det@25% FailLen n,Det@25% FailLen %,Det@50% FailLen n,Det@50% FailLen %,Det@100% FailLen n,Det@100% FailLen %,Det@100% MeanSuccLen n,Det@100% MeanSuccLen %,Never n,Never %
Best F1,,0.579133,50,7.60,78,100.00,47,60.26,67,85.90,78,100.00,67,85.90,0,0.00
Fixed 0.5,,0.500000,115,17.48,78,100.00,54,69.23,71,91.03,78,100.00,71,91.03,0,0.00
q50 success,0.500,0.366707,332,50.46,78,100.00,72,92.31,77,98.72,78,100.00,77,98.72,0,0.00
q60 success,0.400,0.403041,264,40.12,78,100.00,69,88.46,77,98.72,78,100.00,77,98.72,0,0.00
q70 success,0.300,0.441211,192,29.18,78,100.00,65,83.33,75,96.15,78,100.00,75,96.15,0,0.00
q75 success,0.250,0.460867,163,24.77,78,100.00,62,79.49,73,93.59,78,100.00,73,93.59,0,0.00
q80 success,0.200,0.484878,137,20.82,78,100.00,58,74.36,71,91.03,78,100.00,71,91.03,0,0.00
q85 success,0.150,0.513764,96,14.59,78,100.00,51,65.38,70,89.74,78,100.00,70,89.74,0,0.00
q90 success,0.100,0.563108,59,8.97,78,100.00,48,61.54,67,85.90,78,100.00,67,85.90,0,0.00
q92.5 success,0.075,0.595025,42,6.38,78,100.00,47,60.26,67,85.90,78,100.00,67,85.90,0,0.00
q95 success,0.050,0.664321,24,3.65,78,100.00,43,55.13,65,83.33,78,100.00,65,83.33,0,0.00
q97.5 success,0.025,0.788540,13,1.98,78,100.00,35,44.87,61,78.21,78,100.00,61,78.21,0,0.00
q99 success,0.010,0.879233,8,1.22,78,100.00,30,38.46,58,74.36,78,100.00,58,74.36,0,0.00
